업로드 시간,해당일 평균 주가,다음날 평균 주가,influence,라벨
2021-01-19 10:24:18+00:00,3008.333333333333,3237.5,0.004137614678899082,1
2020-02-04 06:53:06+00:00,2001.666666666667,2048.333333333333,0.009128440366972477,0
2020-04-22 10:43:01+00:00,4965.833333333333,6200.0,0.028165137614678898,1
2021-01-17 03:01:43+00:00,8150.0,8066.666666666668,8.302752293577982e-05,0
2020-07-27 13:25:51+00:00,2710.0,2430.833333333333,0.00014541284403669726,1
2020-10-18 22:35:35+00:00,4255.0,4568.333333333333,0.0004298165137614679,1
2020-11-17 12:01:50+00:00,3369.166666666666,3027.5,0.0012477064220183486,1
2020-12-03 05:16:05+00:00,11700.0,11875.0,0.028165137614678898,0
2019-12-12 09:31:13+00:00,2444.1666666666665,2485.0,0.0005,0
2020-06-25 06:03:17+00:00,32980.333333333336,33208.833333333336,0.0008944954128440367,0
2020-02-18 11:33:00+00:00,23050.0,22541.66666666667,0.028165137614678898,0
2020-09-16 08:27:57+00:00,15500.0,15466.666666666664,0.0005963302752293578,0
2020-12-28 10:57:08+00:00,17075.0,17341.666666666668,8.165137614678899e-05,0
2020-08-24 10:30:07+00:00,10006.666666666666,9795.0,0.0009311926605504587,0
2020-10-29 08:43:57+00:00,5039.166666666667,5706.666666666668,0.0016788990825688072,1
2019-10-21 05:15:21+00:00,8041.666666666668,7938.333333333332,0.0005,0
2020-07-21 12:39:16+00:00,11516.666666666664,10516.666666666666,0.0005504587155963303,1
2020-11-22 08:36:01+00:00,979.6666666666664,1263.3333333333333,0.0007889908256880734,1
2021-01-28 10:18:30+00:00,24608.33333333333,25758.33333333333,0.00019403669724770643,1
2020-12-22 02:13:42+00:00,28925.0,28941.66666666667,0.19311926605504587,0
2020-02-13 07:11:45+00:00,1135.0,1209.1666666666667,0.001091743119266055,1
2020-06-03 15:22:46+00:00,8951.666666666666,9170.0,0.0011559633027522936,0
2020-12-16 09:17:55+00:00,8126.666666666668,10083.333333333334,0.0013623853211009174,1
2021-02-04 10:02:46+00:00,41658.333333333336,41091.66666666666,0.008211009174311926,0
2020-11-09 07:00:00+00:00,2254.1666666666665,2468.333333333333,0.0481651376146789,1
2021-01-28 05:35:29+00:00,5388.333333333333,5375.0,0.002614678899082569,0
2021-01-19 03:49:27+00:00,3250.0,3221.666666666666,0.002068807339449541,0
2021-02-01 07:37:02+00:00,3479.166666666666,3134.166666666666,0.002614678899082569,1
2019-12-19 05:17:40+00:00,56866.66666666666,56050.0,0.03555045871559633,0
2020-07-01 06:00:16+00:00,6283.333333333332,6028.333333333332,0.0481651376146789,1
2020-08-25 05:49:43+00:00,3793.333333333334,5092.5,0.0005045871559633027,1
2020-12-14 08:45:16+00:00,116666.66666666669,116916.66666666669,0.007431192660550459,0
2020-06-02 10:31:50+00:00,17575.0,18875.0,0.005412844036697248,1
2020-08-04 06:00:09+00:00,54500.0,56633.33333333334,0.0481651376146789,0
2020-12-22 23:33:18+00:00,758.5,1206.6666666666667,0.0028669724770642203,1
2021-01-18 07:52:44+00:00,28275.0,30225.0,0.00025137614678899083,1
2020-07-07 09:22:37+00:00,1047.5,1370.0,0.017385321100917433,1
2019-07-02 01:20:49+00:00,3095.0,3147.5,0.0008302752293577982,0
2019-12-22 14:27:51+00:00,2150.0,2105.0,0.004238532110091743,0
2020-07-27 14:26:14+00:00,6193.333333333332,6995.0,0.000963302752293578,1
2020-07-21 12:39:16+00:00,9143.333333333334,12108.333333333336,0.0005504587155963303,1
2020-05-14 09:05:13+00:00,29503.66666666667,38044.5,0.001091743119266055,1
2020-07-22 12:51:24+00:00,23466.66666666667,24216.66666666667,0.000963302752293578,0
2021-01-17 16:01:40+00:00,55916.66666666666,52016.66666666666,0.0006055045871559633,1
2019-02-25 14:33:58+00:00,2153.333333333333,2428.333333333333,0.004238532110091743,1
2020-05-19 05:01:44+00:00,29933.33333333333,30058.33333333333,0.00181651376146789,0
2021-01-25 13:33:16+00:00,46116.66666666666,45050.0,0.002298165137614679,0
2021-01-25 13:21:01+00:00,17666.666666666668,17433.333333333332,0.0010642201834862386,0
2021-01-28 08:13:36+00:00,4760.0,5073.333333333333,0.00025137614678899083,1
2019-11-28 08:52:46+00:00,19725.0,18158.33333333333,0.0027201834862385322,1
2020-02-18 11:33:00+00:00,14150.0,13950.0,0.028165137614678898,0
2020-04-01 11:09:24+00:00,10191.666666666666,12441.666666666664,4.724770642201835e-05,1
2020-10-21 10:00:26+00:00,176585.83333333337,162551.33333333337,0.00518348623853211,1
2021-01-26 13:23:01+00:00,75550.0,75300.0,0.0001926605504587156,0
2021-02-02 11:19:11+00:00,360500.0,351416.66666666674,0.002876146788990826,0
2020-06-23 08:04:18+00:00,3968.333333333334,4158.333333333333,0.00025137614678899083,1
2020-05-19 05:01:44+00:00,3331.666666666666,3355.833333333333,0.00181651376146789,0
2020-06-01 16:55:44+00:00,21575.0,22508.33333333333,0.005412844036697248,1
2019-11-28 08:52:46+00:00,1497.5,1594.166666666667,0.0027201834862385322,1
2020-06-25 06:03:17+00:00,10816.666666666666,11141.666666666664,0.0008944954128440367,0
2020-07-15 21:51:14+00:00,1655.833333333333,1579.166666666667,0.000963302752293578,1
2019-05-07 07:26:47+00:00,1728.333333333333,1646.666666666667,0.0005,1
2020-11-26 05:22:30+00:00,89133.33333333331,88616.66666666669,0.028165137614678898,0
2020-11-16 02:06:52+00:00,2980.0,2959.166666666666,1.0,0
2020-03-30 05:05:05+00:00,2274.1666666666665,2690.833333333333,0.00013073394495412844,1
