업로드 시간,해당일 평균 주가,다음날 평균 주가,influence,주가 변화율,라벨
2020-07-23 06:53:23+00:00,59766.66666666666,59666.66666666666,317.0,-0.001673173452314557,0
2020-08-06 15:05:45+00:00,8646.666666666666,11091.666666666664,5010.0,0.2827679259830376,1
2021-01-25 13:33:16+00:00,17666.666666666668,17433.333333333332,5010.0,-0.013207547169811457,0
2020-05-14 10:24:25+00:00,7081.666666666668,7068.333333333332,473.0,-0.0018827959519890454,0
2019-04-17 01:00:02+00:00,3359.166666666666,3399.166666666666,22400.0,0.011907715207144629,0
2021-01-28 10:18:30+00:00,14300.0,15441.666666666664,423.0,0.07983682983682967,1
2020-07-12 14:48:49+00:00,13158.333333333336,13441.666666666664,4250.0,0.021532615579480312,0
2019-12-17 14:32:10+00:00,1760.0,1682.5,9240.0,-0.04403409090909091,1
2020-07-15 21:51:14+00:00,496416.66666666674,497250.0,2100.0,0.0016786973308710873,0
2019-12-17 08:34:13+00:00,1805.833333333333,2128.333333333333,33.0,0.17858790955237658,1
2019-05-16 05:59:19+00:00,1513.333333333333,1532.5,1090.0,0.012665198237885663,0
2020-08-04 09:17:37+00:00,40650.0,61050.0,3570.0,0.5018450184501845,1
2020-10-25 00:00:02+00:00,233583.33333333328,234916.66666666663,529000.0,0.0057081698180521286,0
2021-01-25 13:21:01+00:00,22200.0,21558.33333333333,2320.0,-0.028903903903904123,0
2020-05-26 15:21:28+00:00,178866.66666666663,192750.0,9240.0,0.07761833768169983,1
2020-12-08 06:46:33+00:00,22133.33333333333,21716.666666666668,1090.0,-0.018825301204819008,0
2020-09-14 09:15:01+00:00,15616.666666666664,15716.666666666664,6760.0,0.0064034151547492,0
2020-01-09 09:15:04+00:00,3947.5,3919.166666666666,1090.0,-0.007177538526493716,0
2021-01-28 05:35:29+00:00,2118.333333333333,2115.833333333333,5700.0,-0.0011801730920535016,0
2019-08-20 09:51:04+00:00,129416.66666666669,141750.0,9020.0,0.09529942047649692,1
2020-07-07 08:26:18+00:00,488.83333333333326,466.0,548.0,-0.04670985339243081,1
2020-12-14 12:40:35+00:00,28891.66666666667,28675.0,4010.0,-0.007499278915489063,0
2021-01-27 09:03:11+00:00,45658.33333333334,42741.66666666666,30900.0,-0.0638802701222855,1
2020-07-06 11:21:23+00:00,759833.3333333335,757666.6666666665,473.0,-0.002851502522483409,0
2020-12-14 06:29:49+00:00,6541.666666666668,6411.666666666668,1090.0,-0.01987261146496815,0
2020-12-01 23:22:21+00:00,3854.166666666666,3920.0,937.0,0.01708108108108124,0
2020-10-21 09:02:06+00:00,3940.0,4183.333333333333,548.0,0.06175972927241955,1
2021-01-27 09:21:29+00:00,4581.666666666667,4467.5,28700.0,-0.024918152055292898,0
2020-02-20 07:19:17+00:00,8718.333333333334,13516.666666666664,2380.0,0.5503727776715729,1
2020-08-27 07:13:08+00:00,5346.666666666667,4847.5,7560.0,-0.0933603491271821,1
2020-10-29 08:43:57+00:00,7895.0,7988.333333333332,3660.0,0.01182182816128336,0
2020-03-23 14:37:38+00:00,62233.33333333334,65800.0,9240.0,0.057311194429565976,1
2020-10-19 01:38:14+00:00,48016.66666666666,47516.66666666666,1090.0,-0.01041305102395002,0
2020-09-13 21:00:03+00:00,1480.0,1588.333333333333,2030.0,0.07319819819819799,1
2020-11-29 09:37:33+00:00,9856.666666666666,9998.333333333334,3960.0,0.014372675008454641,0
2020-07-22 12:51:24+00:00,23466.66666666667,24216.66666666667,2100.0,0.031960227272727265,0
2019-12-17 14:32:10+00:00,1933.333333333333,2689.1666666666665,9240.0,0.3909482758620691,1
2020-10-06 13:39:29+00:00,5176.666666666667,5100.0,317.0,-0.01481004507405028,0
2020-08-04 09:17:37+00:00,55800.0,58500.0,3570.0,0.04838709677419355,1
2021-01-28 10:18:30+00:00,17641.666666666668,18450.0,423.0,0.04581955597543687,1
2021-01-07 10:00:11+00:00,15491.666666666664,15758.333333333336,86900.0,0.01721355567509445,0
2019-05-13 08:26:04+00:00,6630.0,8240.0,14800.0,0.24283559577677225,1
2020-02-18 11:33:00+00:00,23050.0,22541.66666666667,61400.0,-0.02205350686912488,0
2020-09-02 14:34:41+00:00,19791.666666666668,22125.0,9240.0,0.1178947368421052,1
2020-05-26 15:21:28+00:00,23466.66666666667,23141.66666666667,9240.0,-0.013849431818181816,0
2021-02-02 11:02:10+00:00,26933.33333333333,26916.66666666667,1530.0,-0.0006188118811877588,0
2020-11-26 07:59:38+00:00,4884.166666666667,6466.666666666668,18400.0,0.32400614229653657,1
2020-11-24 07:26:06+00:00,2313.333333333333,2462.5,3960.0,0.06448126801152752,1
2020-10-29 06:00:03+00:00,1898.333333333333,1937.5,105000.0,0.020632133450395246,0
2021-01-27 09:51:23+00:00,12558.333333333336,12125.0,28700.0,-0.034505640345056585,0
2020-10-19 01:38:14+00:00,48016.66666666666,47516.66666666666,1090.0,-0.01041305102395002,0
2021-01-26 13:23:01+00:00,165666.66666666663,165916.66666666663,420.0,0.0015090543259557348,0
2020-07-16 06:19:40+00:00,2861.666666666666,2960.0,163000.0,0.034362259755387516,0
2021-01-25 13:21:01+00:00,44058.33333333334,43866.66666666666,2320.0,-0.00435029317193159,0
2020-12-07 21:00:12+00:00,384292.83333333326,389612.5,39000.0,0.013842742318466548,0
2020-10-21 09:02:06+00:00,1935.0,2415.833333333333,548.0,0.2484926787252367,1
2020-06-22 12:15:12+00:00,5074.166666666667,7101.666666666668,473.0,0.3995730004926919,1
2020-09-02 07:20:27+00:00,14375.0,14608.333333333336,1090.0,0.016231884057971182,0
