업로드 시간,해당일 평균 주가,다음날 평균 주가,influence,주가 변화율,라벨,influence_score
2020-12-29 07:09:48+00:00,2154.1666666666665,2433.333333333333,293.0,0.12959381044487422,1,0.3
2020-06-22 12:15:12+00:00,5333.333333333333,7061.666666666668,1332.0,0.3240625000000003,1,0.9
2019-04-23 08:06:27+00:00,74483.33333333331,73733.33333333331,1387.0,-0.010069366748713362,0,0.9
2020-08-24 06:29:42+00:00,21066.666666666668,21616.666666666668,11951.0,0.026107594936708858,0,0.9
2020-12-16 03:55:45+00:00,352786.5,343539.33333333326,682.0,-0.02621179287378271,0,0.7
2021-01-24 15:27:55+00:00,22150.0,22566.66666666667,432.0,0.018811136192626254,0,0.5
2020-01-29 22:38:15+00:00,1435.833333333333,1548.333333333333,191.0,0.07835171213000583,1,0.2
2020-11-24 07:26:06+00:00,2313.333333333333,2462.5,516.0,0.06448126801152752,1,0.6
2021-01-21 09:48:35+00:00,1396.666666666667,1495.0,905.0,0.07040572792362745,1,0.8
2019-12-08 06:33:09+00:00,5161.666666666667,5165.0,386.0,0.0006457862447529281,0,0.4
2020-09-06 08:34:27+00:00,815333.3333333335,815500.0,216.0,0.0002044153720357867,0,0.3
2019-04-17 01:00:02+00:00,3359.166666666666,3399.166666666666,821.0,0.011907715207144629,0,0.8
2020-07-01 02:36:28+00:00,2763.333333333333,2888.166666666666,96.0,0.04517490952955357,1,0.1
2020-11-23 17:13:50+00:00,21741.666666666668,16991.666666666668,163.0,-0.21847451130701415,1,0.2
2020-12-17 10:17:30+00:00,7631.666666666668,9115.0,374.0,0.1943655820048044,1,0.4
2020-11-05 12:48:10+00:00,4339.166666666667,4226.666666666667,163.0,-0.025926637219128097,0,0.2
2020-10-19 01:38:14+00:00,2138.333333333333,2009.166666666667,368.0,-0.06040530007794205,1,0.4
2021-01-28 05:35:29+00:00,3725.0,3704.166666666666,38.0,-0.005592841163311125,0,0.1
2021-01-28 10:18:30+00:00,1655.833333333333,1738.333333333333,183.0,0.049823855057876204,1,0.2
2020-08-04 09:46:45+00:00,40650.0,61050.0,374.0,0.5018450184501845,1,0.4
2020-07-07 08:26:18+00:00,869.8333333333335,833.8333333333335,5.0,-0.041387238934661806,1,0
2020-10-21 04:55:16+00:00,5050.0,5128.333333333333,368.0,0.015511551155115454,0,0.4
2020-07-21 10:31:30+00:00,29608.33333333333,29383.33333333333,604.0,-0.00759921193357726,0,0.7
2020-07-06 08:21:15+00:00,1500.0,1731.666666666667,5.0,0.15444444444444466,1,0
2019-02-27 13:30:49+00:00,1812.5,2085.833333333333,484.0,0.15080459770114926,1,0.6
2020-07-27 13:25:51+00:00,3608.333333333334,3470.0,28.0,-0.03833718244803711,0,0
2020-10-20 05:08:33+00:00,6370.0,6891.666666666668,368.0,0.08189429618001065,1,0.4
2021-01-25 13:21:01+00:00,44058.33333333334,43866.66666666666,278.0,-0.00435029317193159,0,0.3
2021-01-17 16:01:40+00:00,90333.33333333331,86516.66666666669,154.0,-0.042250922509224666,1,0.2
2020-11-15 15:45:21+00:00,144333.33333333337,154083.33333333337,313.0,0.06755196304849882,1,0.3
2020-10-07 04:25:41+00:00,26416.5,26987.33333333333,472.0,0.021608969141760963,0,0.5
2020-07-02 02:39:28+00:00,18791.666666666668,19600.0,96.0,0.04301552106430148,1,0.1
2020-09-02 14:34:41+00:00,19791.666666666668,22125.0,484.0,0.1178947368421052,1,0.6
2019-12-17 14:32:10+00:00,2597.333333333333,2858.166666666666,484.0,0.1004235112936344,1,0.6
2020-08-06 09:39:48+00:00,2678.333333333333,2659.1666666666665,28.0,-0.007156191661480966,0,0
2020-11-17 07:35:59+00:00,2730.833333333333,2426.6666666666665,293.0,-0.1113823619163869,1,0.3
2020-02-13 05:57:49+00:00,8021.666666666668,9758.333333333334,820.0,0.216496987325992,1,0.8
2020-10-21 04:55:16+00:00,5050.0,5128.333333333333,368.0,0.015511551155115454,0,0.4
2020-07-20 11:01:55+00:00,2643.333333333333,3380.0,287.0,0.2786885245901641,1,0.3
2020-12-14 15:23:21+00:00,24533.33333333333,23691.66666666667,163.0,-0.034307065217390915,0,0.2
2021-01-27 02:12:43+00:00,3753.333333333334,4655.833333333333,687.0,0.2404529307282413,1,0.7
2020-09-02 22:16:02+00:00,739500.0,764833.3333333335,1171.0,0.0342573811133651,0,0.8
2020-08-13 03:49:26+00:00,30416.66666666667,30358.33333333333,682.0,-0.0019178082191784011,0,0.7
2020-06-22 12:15:12+00:00,5074.166666666667,7101.666666666668,1332.0,0.3995730004926919,1,0.9
2020-10-25 00:00:02+00:00,7556.666666666668,7461.666666666668,853.0,-0.012571680635200705,0,0.8
2021-02-02 15:11:56+00:00,22391.66666666667,22975.0,104.0,0.0260513583922588,0,0.1
2020-07-28 23:15:34+00:00,143333.33333333337,144583.33333333337,517.0,0.008720930232558138,0,0.6
2019-12-29 08:59:13+00:00,25633.33333333333,26008.33333333333,131.0,0.014629388816644997,0,0.2
2020-12-16 09:17:55+00:00,8126.666666666668,10083.333333333334,374.0,0.2407711238720261,1,0.4
2020-05-07 00:17:20+00:00,2605.0,2730.833333333333,190.0,0.04830454254638504,1,0.2
2020-08-06 15:05:45+00:00,24458.33333333333,25116.66666666667,471.0,0.026916524701874337,0,0.5
2021-01-25 22:03:29+00:00,8115.0,8083.333333333332,472.0,-0.0039022386527009095,0,0.5
2020-05-26 15:21:28+00:00,178866.66666666663,192750.0,484.0,0.07761833768169983,1,0.6
2020-12-16 15:47:38+00:00,25483.33333333333,25533.33333333333,33.0,0.0019620667102681496,0,0
