채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
주식으로 슈퍼직장인,"[임정우] 조류독감 관련주 이글벳 매수는 어디서? (이글벳,파루,제일바이오,중앙백신,우진비앤지,사조씨푸드,CJ씨푸드,신라에스지,마니커에프앤지,체리부로,조류독감)",2020-12-14 06:29:49+00:00,1663,CJ씨푸드,1640635,272085,5466.666667,5335
속리산개미TV,"조류독감과 관련하여 대안주인 수산관련주중 CJ씨푸드,동원수산,신라에스지에 관하여봅니다",2020-11-29 08:00:03+00:00,371,CJ씨푸드,383720,653626,5263.333333,5318.333333
콕스톡TV,"[주식][특징주][돼지열병 관련주]이글벳, 우성사료, 한일사료, 마니커에프앤지, CJ씨푸드",2020-10-12 02:59:00+00:00,1302,CJ씨푸드,593136,134433,4723.333333,4588.333333
주식으로 슈퍼직장인,"[임정우] 조류독감 관련주 이글벳 매수는 어디서? (이글벳,파루,제일바이오,중앙백신,우진비앤지,사조씨푸드,CJ씨푸드,신라에스지,마니커에프앤지,체리부로,조류독감)",2020-12-14 06:29:49+00:00,6627,CJ씨푸드,1640635,272085,5466.666667,5335
손느린아재,[주식] 12월 7일 특징주 조류독감 전국확산 이글벳 제일바이오 CJ씨푸드 사조씨푸드 오텍,2020-12-07 07:49:55+00:00,1131,CJ씨푸드,2178762,1183631,5401.666667,5570
속리산개미TV,"조류독감과 관련하여 대안주인 수산관련주중 CJ씨푸드,동원수산,신라에스지에 관하여봅니다",2020-11-29 08:00:03+00:00,16991,CJ씨푸드,383720,653626,5263.333333,5318.333333
장대양봉TV,2020/11/19 [조류독감/돼지병병/동물방역][일본 원전 오염수 배출] 테마주 공부하기!! [이글벳][우진비엔지][제일바이오][체시스][사조오양][사조씨푸드[CJ씨푸드] 등,2020-11-19 08:37:22+00:00,0,CJ씨푸드,789239,264545,5341.666667,5225
JM Investment,[JM 주식방송]  지옥의 코스닥  돼지열병관련주/방산주/테마주/주식다큐/코스닥/나스닥/미국증시/CMG제약/증권방송/서연탑메탈/진원생명과학/제약주/바이오주/로봇관련주/유진로봇/로보,2020-10-29 16:19:31+00:00,724,CMG제약,529480,10207862,4571.666667,5061.666667
콕스톡TV,"[주식][어린이괴질 관련주] 조아제약, 명문제약, 고려제약, 영진약품, CMG제약, 신풍제약, 국제약품, 경동제약, 경보제약, 삼성제약",2020-05-25 03:24:03+00:00,375,CMG제약,350880,361943,4194.166667,4212.5
주식천사,[아스피린 관련주] 어린이괴질 빠른 시일내 해소되길   l 아스피린 SK바이오랜드 조아제약 명문제약 고려제약 유한양행 삼진제약 보령제약 CMG제약 제약테마,2020-05-24 06:04:30+00:00,849,CMG제약,255546,350880,4269.166667,4194.166667
삼색이H,"마이크로바이옴 관련주 소마젠, DSC인베스트먼트 입니다.",2020-10-21 04:59:04+00:00,267,DSC인베스트먼트,34761,66596,3655.833333,3723.333333
주식투자 이가람상승패턴,"[주식투자정보]마이크로바이옴 주목! ★127조 시장이 열린다★관련주 (네오크레마, 비피도,제노포커스,쎌바이오텍,에이티넘인베스트먼트, 컴퍼니케이파트스,코센,DSC인베스트먼트,팜스빌)",2019-11-07 17:06:46+00:00,0,DSC인베스트먼트,150793,228816,3216.666667,3411.666667
골드크로스주식,주식 투자] 바이오신약 마이크로바이옴 관련주 상한가 사전예약 네오크라메 비피도 제노포커스 DSC인베스트먼트 쎌바이오텍 일동제약 BIO,2019-11-07 08:43:11+00:00,1970,DSC인베스트먼트,150793,228816,3216.666667,3411.666667
주식정보채널,김진균대표-솔젠트 FDA 긴급사용승인 획득! 관련주 EDGC 대응전략 공개!,2020-05-25 00:42:31+00:00,1327,EDGC,2436163,1013589,14508.33333,14666.66667
정보의 바다,"자동차부품관련주 영화테크,덕양산업,동화기업,경창산업,GH신소재,대우부품",2020-07-06 08:21:15+00:00,0,GH신소재,24225,267343,3191.666667,3604.166667
심플 관심종목 TV,"내일테마 관심종목! KNN,재택근무,마스크,음압병실,교육,진단키트,치료제,첨생법,아시아나,카카오 //진원생명과학,신일제약,에스맥,일신바이오,대정화금,바이넥스,GH신소재,유엔젤,텔콘",2020-08-26 12:34:10+00:00,19549,GH신소재,4586533,2854479,8290,8428.333333
세렌스톡[Seren's Talk],고려제약/명문제약/조아제약/어린이괴질 관련주/서울바이오시스/HRS/현대에이치씨엔/두산퓨얼셀/한진칼/남영비비안/유니온머티리얼/노바텍/디피씨/남선알미늄/솔브레인/테스/안트로젠/메지온,2020-05-26 15:21:28+00:00,1660,HRS,264786,570966,3508.333333,4113.333333
심플 관심종목 TV,"내일테마 관심종목! KNN,재택근무,마스크,음압병실,교육,진단키트,치료제,첨생법,아시아나,카카오 //진원생명과학,신일제약,에스맥,일신바이오,대정화금,바이넥스,GH신소재,유엔젤,텔콘",2020-08-26 12:34:10+00:00,19549,KNN,28431698,27243575,2571.666667,2798.333333
레드시그널,"살인진드기관련주, 중국신종 부니아바이러스, 치사율최대30% 관련주 (이글벳, 보령제약,녹십자,LG생활건강, 웰크론, 동성제약,이글벳,승일) 점검",2020-08-05 09:56:14+00:00,559,LG생활건강,11005,4831,1379833.333,1377500
음굿&Umgood,20.11.02. 월요일 #윤석열관련주 #서연 #형지I&amp;C #소리바다 #SK바이오팜 #카카오게임즈 #체시스 #파미셀 #삼성바이오로직스 #LG화학 #빅히트 #한일진공 #셀트리온,2020-11-02 08:17:12+00:00,64,LG화학,158415,212851,604833.3333,644000
주린이,"상한가,급등주,SG충방,김동연관련주,SK바이오팜,SM Life Design,대북주,바이오주,엔터주,한한령관련주,장대양봉",2020-07-05 14:08:50+00:00,163,SG충방,28408,7381917,1159.166667,1535.833333
JM Investment,야간종목상담방송~ 실시간 라이브 레전드 갑시다.     홍역관련주/수소차관련주/남북테마/개미투자자/전업투자자/유니셈/SH에너지화학/필룩스/,2019-01-21 13:07:42+00:00,1709,SH에너지화학,327587,4163964,1209.166667,1240
최종원의 주식 밀착 취재,"[임정우] SK바이오사이언스 관련주.. 그룹주 사고싶은데 비싸죠? 추천주는? (SK,SK우,SK바이오팜,SK케미칼,SK케미칼우,SK디스커버리,SK디스커버리우,켐온)",2020-07-22 01:59:42+00:00,1049,SK,297071,91224,241166.6667,231750
투자의 민족,"[주식]SK바이오팜 D-DAY, SK 관련주 전격 분석!",2020-07-02 10:06:09+00:00,3918,SK,1181530,379863,287083.3333,275833.3333
이데일리TV,SK(034730)... 투자 패러다임 변화! ESG 관련주_업종 공략 UP&amp;DOWN (20210108),2021-01-07 23:37:39+00:00,2365,SK,580200,271279,282583.3333,300666.6667
주식의달인,"[주식] SK바이오팜/빅히트엔터 상장 기대감에 관련주 100% 수익 발생! 다음은 카카오게임즈! 수혜주 모두 공개합니다! (넷마블, 디피씨, SK디스커버리, 카카오게임즈 관련주)",2020-07-30 13:39:04+00:00,2798,SK디스커버리,243579,90458,50475,49375
판교김부장,"빌게이츠가 지원하는 SK바이오사이언스 관련주 정리 추천(SK디스커버리,SK케미칼)",2020-07-26 17:45:06+00:00,1678,SK디스커버리,468672,1501925,42466.66667,53483.33333
최종원의 주식 밀착 취재,"[임정우] SK바이오사이언스 관련주.. 그룹주 사고싶은데 비싸죠? 추천주는? (SK,SK우,SK바이오팜,SK케미칼,SK케미칼우,SK디스커버리,SK디스커버리우,켐온)",2020-07-22 01:59:42+00:00,1049,SK디스커버리,1874801,3182673,44941.66667,52008.33333
심플 관심종목 TV,"당일테마 관심종목! 2차전지,혈장,첨생법,5G,미중무역전쟁,현대차,수소,카카오게임즈 등등// 일양약품,현대차,일신바이오,에이스테크,SK디스커버리,서연윤석열쏠리드,알루코에이비엘바이오",2020-08-11 22:14:12+00:00,18477,SK디스커버리,2958392,1546647,73000,82200
도지선생 주식이야기,"이슈분석 - SK바이오팜관련주 폭락 - SK우.SK증권,SK케미칼",2020-07-02 09:30:03+00:00,3893,SK증권,188478992,33516171,1113.333333,992
증권돌이TV,"A형 간염 관련주 - A형 간염 서울, 경기 확산!! (보령제약,광동제약,SK케미칼,녹십자)",2019-04-28 14:02:58+00:00,370,SK케미칼,2180,10338,67366.66667,67016.66667
판교김부장,"빌게이츠가 지원하는 SK바이오사이언스 관련주 정리 추천(SK디스커버리,SK케미칼)",2020-07-26 17:45:06+00:00,1678,SK케미칼,499220,1422092,229500,324833.3333
최종원의 주식 밀착 취재,"[임정우] SK바이오사이언스 관련주.. 그룹주 사고싶은데 비싸죠? 추천주는? (SK,SK우,SK바이오팜,SK케미칼,SK케미칼우,SK디스커버리,SK디스커버리우,켐온)",2020-07-22 01:59:42+00:00,1049,SK케미칼,1236540,1936346,227333.3333,273750
이상투자그룹,[SK바이오팜 주가] K바이오 관련주 폭등 임박!!! 정부 지원에 더해진 기술수출 내일 당장 사야 할 제2의 SK케미칼 긴급 공개 l 변원규 전문가 l 이상투자그룹 l 주식투자,2020-07-08 07:27:43+00:00,9896,SK케미칼,155546,206550,131333.3333,139916.6667
도지선생 주식이야기,"이슈분석 - SK바이오팜관련주 폭락 - SK우.SK증권,SK케미칼",2020-07-02 09:30:03+00:00,3893,SK케미칼,1016227,260000,124000,124833.3333
모두투자그룹,[SK하이닉스] [메디톡스] 보톡스관련주 낸드시장  집중분석! 현대차의 수혜를 받고 급등기회를 노리고 있는 그 종목!!! [모두투자그룹 l 최병진 전문가],2020-10-21 10:00:26+00:00,1280,SK하이닉스,942456,521225,84900,83700
심플 관심종목 TV,"내일 관심테마! 그린뉴딜,조바이든,진단키트,어린이괴질,자율주행,빅히트,SV인베스트먼트//라닉스,모트렉스,루미마이크로,라닉스,오르비텍,현대공업,제이씨현시스템,셀리드,명문제약한화솔루션",2020-10-05 12:39:49+00:00,22335,SV인베스트먼트,15351970,23098163,5373.333333,5676.666667
심플 관심종목 TV,"내일 관심테마! SV인베스트먼트,디지털&amp;가상화폐,윤석열,독감,세종시,LG화학분사,조류 //서연탑메탈,태림포장,대한과학,삼아알미늄,케이씨에스,나라엠앤디,삼성물산,우리기술투자,시노펙스",2020-10-25 10:18:05+00:00,1046,SV인베스트먼트,1798145,14747309,6798.333333,8065
단기투자변선생TV,[변선생의 종목특강] 지금 당장 사야될 주식!  강스템바이오텍!! (줄기세포/퓨어스템 관련주),2020-12-29 07:49:04+00:00,2302,강스템바이오텍,127471,81380,7315,7448.333333
콕스톡TV,"[주식][특징주][줄기세포 관련주]파미셀, 안트로젠, 강스템바이오텍, 네이처셀, 메디포스트, 에스씨엠생명과학",2020-12-23 02:56:53+00:00,1514,강스템바이오텍,7140690,1432272,8793.333333,7905
콕스톡TV,"[주식][줄기세포관련주, 안트로젠, 테고사이언스, 네이처셀, 강스템바이오텍, 조아제약, 부광약품",2020-06-25 06:03:17+00:00,962,강스템바이오텍,941756,322213,10816.66667,11141.66667
주식인,"주식 줄기세포 관련주 전세계가 주목하는 줄기세포 권위주! 임상1상+2상+3상+국책과제까지! 500% 대시세의 신호탄이 터졌다! (파미셀,안트로젠,네이처셀,메디포스트,강스템바이오텍)",2020-06-11 10:55:35+00:00,76361,강스템바이오텍,388464,460815,10716.66667,10241.66667
korean hunter 괴팍,줄기세포치료제로 뜨는 K-Bio#차바이오텍#안트로젠#코아스템#메디포스트#강스템바이오텍,2020-06-02 10:41:45+00:00,1349,강스템바이오텍,260523,842722,9451.666667,10120
빨간맛 주식,[주식투자] 줄기세포치료관련주 파미셀 안트로젠 강스템바이오텍 반등각!,2020-04-16 07:00:15+00:00,2075,강스템바이오텍,101626,255255,8398.333333,8638.333333
배트나 BATNA,"200825 장 중. 예고대로 트럼프 풋 작동. 첨생법. 한화솔루션, 경남바이오파마 케이스 스터디.",2020-08-25 05:49:43+00:00,169,경남바이오파마,36024,2198816,3793.333333,5092.5
콕스톡TV,"[주식][어린이괴질 관련주] 조아제약, 명문제약, 고려제약, 영진약품, CMG제약, 신풍제약, 국제약품, 경동제약, 경보제약, 삼성제약",2020-05-25 03:24:03+00:00,375,경동제약,21577,7726,8680,8763.333333
콕스톡TV,"[주식][어린이괴질 관련주] 조아제약, 명문제약, 고려제약, 영진약품, CMG제약, 신풍제약, 국제약품, 경동제약, 경보제약, 삼성제약",2020-05-25 03:24:03+00:00,375,경보제약,5772,6901,8098.333333,8083.333333
정보의 바다,"자동차부품관련주 영화테크,덕양산업,동화기업,경창산업,GH신소재,대우부품",2020-07-06 08:21:15+00:00,0,경창산업,30069,492471,839.1666667,963.1666667
상비군TVᆞ조회수4885만회,[주식] 중국 신종 돼지독감 관련주 이대로 끝?! 추가로 봐야할 관련주 체크! #실시간급상승동영상1위#신종돼지독감#제일바이오#고려시멘트#진바이오텍,2020-07-01 09:05:08+00:00,155,고려시멘트,96577,75490,3324.166667,3325
상비군TVᆞ조회수4885만회,[주식] 중국 신종 돼지독감 관련주 이대로 끝?! 추가로 봐야할 관련주 체크! #실시간급상승동영상1위#신종돼지독감#제일바이오#고려시멘트#진바이오텍,2020-07-01 09:05:08+00:00,21471,고려시멘트,96577,75490,3324.166667,3325
슬기로운 매매생활,"[임정우] 흑사병 관련주 대장주 및 후발주 추천주는? 지금 사도 될까? (페스트,우정바이오,국제약품,전진바이오팜,고려제약,중앙백신,이글벳,파루)",2020-07-07 02:28:10+00:00,699,고려제약,23529,484833,10866.66667,11575
리버모어,흑사병(페스트) 정리 및 관련주 체크_191114 #오공 #파루 #이글벳 #고려제약 #진원생명과학 #바이오제네틱스 #우정바이오 #인트론바이오,2019-11-14 15:22:48+00:00,302,고려제약,69740,69578,7650,7301.666667
월스트리트경제TV,"#흑사병 관련주, 다른거 다~ 놓쳐도 이 종목만큼은 절대 놓치지 말자! #고려제약 #오공 #우정바이오 #고려제약 #웰크론 - 주식브라더스",2019-11-14 08:56:57+00:00,1744,고려제약,69740,69578,7650,7301.666667
월스트리트경제TV,"#흑사병 관련주, 다른거 다~ 놓쳐도 이 종목만큼은 절대 놓치지 말자! #고려제약 #오공 #우정바이오 #고려제약 #웰크론 - 주식브라더스",2019-11-14 08:56:57+00:00,1744,고려제약,69740,69578,7650,7301.666667
급등일보TV - 주식속보메신저,고려제약 급락! 어린이괴질테마 끝? 빵형 귓방망이 딱 대!,2020-05-27 07:47:12+00:00,2187,고려제약,8086869,723436,14658.33333,13725
AP투자연구소 김용재 소장,[003850]보령제약 - 어린이 괴질관련주 고려제약 조아제약 명문제약 급등 과연 보령제약주가 의 향방은?,2020-05-27 05:59:33+00:00,1595,고려제약,8086869,723436,14658.33333,13725
세렌스톡[Seren's Talk],고려제약/명문제약/조아제약/어린이괴질 관련주/서울바이오시스/HRS/현대에이치씨엔/두산퓨얼셀/한진칼/남영비비안/유니온머티리얼/노바텍/디피씨/남선알미늄/솔브레인/테스/안트로젠/메지온,2020-05-26 15:21:28+00:00,1660,고려제약,3393351,8086869,11141.66667,14658.33333
TV아나키스트,20.05.26 고려제약 어린이괴질 관련주,2020-05-26 14:13:39+00:00,111,고려제약,3393351,8086869,11141.66667,14658.33333
주식으로 슈퍼직장인,"[용호] 어린이괴질 국내 의심 환자 발생. 대장주 고려제약 상한가 이후 더 간다?(feat. 조아제약, 명문제약)",2020-05-26 09:37:58+00:00,1596,고려제약,3393351,8086869,11141.66667,14658.33333
급등일보TV - 주식속보메신저,첫 테마가 가장 강하다! 어린이 괴질테마 이제 시작이다! 고려제약 조아제약 명문제약,2020-05-26 08:21:06+00:00,1523,고려제약,3393351,8086869,11141.66667,14658.33333
전업투자자 종가지존,[주식]대세상승장? 시황 및 종목 - 괴질관련주. 명문제약/고려제약/조아제약. 뭘사도 수익. 뭘들고있어도 수익.,2020-05-26 06:53:58+00:00,1097,고려제약,3393351,8086869,11141.66667,14658.33333
빨간맛 주식,[주식투자] 어린이괴질관련주 조아제약 명문제약 보령제약 고려제약 상승각!,2020-05-25 07:30:02+00:00,975,고려제약,5082408,3393351,10528.33333,11141.66667
콕스톡TV,"[주식][어린이괴질 관련주] 조아제약, 명문제약, 고려제약, 영진약품, CMG제약, 신풍제약, 국제약품, 경동제약, 경보제약, 삼성제약",2020-05-25 03:24:03+00:00,375,고려제약,5082408,3393351,10528.33333,11141.66667
