채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
주식천사,[아스피린 관련주] 어린이괴질 빠른 시일내 해소되길   l 아스피린 SK바이오랜드 조아제약 명문제약 고려제약 유한양행 삼진제약 보령제약 CMG제약 제약테마,2020-05-24 06:04:30+00:00,849,고려제약,295827,5082408,9033.333333,10528.33333
신박사,"마이크로바이옴, 차세대 바이오기술 / 지놈앤컴퍼니 상장 / 고바이오랩, 천랩, 제노포커스, 쎌바이오텍 관련주 분석",2020-12-22 21:45:01+00:00,25987,고바이오랩,1574599,2158446,40700,46033.33333
급등일보TV - 주식속보메신저,"지놈앤컴퍼니 12월 23일 (수) 신규상장(feat.화이자, 고바이오랩, 유한양행, 종근당, 보령제약) // 마이크로바이옴 관련주",2020-12-22 07:22:04+00:00,3918,고바이오랩,1574599,2158446,40700,46033.33333
제이케이투자그룹,"고바이오랩, 신규상장입니다. 마이크로바이옴 관련주로 지금은 약세지만 같이 지켜보자구요~",2020-11-19 09:14:10+00:00,3339,고바이오랩,1272204,376673,31375,28441.66667
JM Investment,4월의 오전 대박주는 무엇일까?   a형 간염 관련주 보령제약 광동제약,2019-04-29 01:38:02+00:00,356,광동제약,1443133,266320,7963.333333,7476.666667
주파TV,"주파tv  4월29일 장초반관심주,A형간염 관련주,한독,보령제약,광동제약,sk케미칼,녹십장",2019-04-28 15:35:46+00:00,111,광동제약,3462,1443133,7073.333333,7963.333333
증권돌이TV,"A형 간염 관련주 - A형 간염 서울, 경기 확산!! (보령제약,광동제약,SK케미칼,녹십자)",2019-04-28 14:02:58+00:00,370,광동제약,3462,1443133,7073.333333,7963.333333
JM Investment,[JM 주식방송]  돼지열병 관련주  대성미생물/광동제약/한국파마  명문제약/진원생명과학 이글벳/파루 바이오주  박호두 방산주 신풍제약/빅텍/나스닥/코스닥/코스피/코로나 관련주,2020-10-14 16:47:52+00:00,1872,광동제약,1494323,958475,11366.66667,11300
JM Investment,[JM 주식방송]  돼지열병 관련주  대성미생물/광동제약/한국파마  명문제약/진원생명과학 이글벳/파루 바이오주  박호두 방산주 신풍제약/빅텍/나스닥/코스닥/코스피/코로나 관련주,2020-10-13 16:07:47+00:00,529,광동제약,394296,1494323,10533.33333,11366.66667
JM Investment,[JM 주식방송]  돼지열병 관련주  대성미생물/광동제약/한국파마  명문제약/진원생명과학 이글벳/파루 바이오주  박호두 방산주 신풍제약/빅텍/나스닥/코스닥/코스피/코로나 관련주,2020-10-12 16:10:40+00:00,632,광동제약,405348,394296,10241.66667,10533.33333
콕스톡TV,"[주식][특징주][수돗물 유충 관련주]광동제약, 웰크론한텍, 웹스, 뉴보텍, 도화엔지니어링, 자연과환경, 한국주철관, 엔바이오니아",2020-09-28 03:02:19+00:00,902,광동제약,84977,5633885,9116.666667,10741.66667
울산주식트레이더 - 울트,"[주식차트]수돗물 유충 확산!! 수돗물 테마주 타점분석(웰크론한텍, 웹스, 한국주철관, 광동제약) + 국제약품 자랑",2020-07-21 12:39:16+00:00,724,광동제약,8657292,2592532,11516.66667,10516.66667
심플 관심종목 TV,"수돗물유충관련주 정리 / 수처리,생수,하수도관,정수기,정수샤워기필터 등등 관련주 // 웰크론한텍,뉴보텍,시노펙스,광동제약,웹스,엔바이오니아,정산애강,코웨이,쿠쿠홈시스",2020-07-20 13:53:25+00:00,632,광동제약,5821001,8657292,8985,11516.66667
주식 또사 이선생 TradingAdvisor,수돗물 유충 사태 광동제약 주가 어떻게 움직일까 ? 완벽분석 및 단타기법공개,2020-07-20 12:17:56+00:00,5,광동제약,5821001,8657292,8985,11516.66667
주식파일러,"[주식] 인천, 서울에 이어 부산까지?! 수돗물 유충 관련주 한방 정리! (웰크론한텍, 시노펙스, 뉴보텍, 한독그린텍, 엔바이오니아, 광동제약)",2020-07-20 11:32:19+00:00,238,광동제약,5821001,8657292,8985,11516.66667
도지선생 주식이야기,특징주분석 광동제약(생수관련주),2020-07-20 11:30:03+00:00,1302,광동제약,5821001,8657292,8985,11516.66667
한강 View 티비_주식소통채널,"수돗물 유충 관련주 상한가 엄청 많네😂웰크론한텍,웹스,뉴보텍,광동제약,와토스코리아,시노펙스,한강티비",2020-07-20 11:01:55+00:00,2822,광동제약,5821001,8657292,8985,11516.66667
슬기로운 매매생활,"[임정우] 흑사병 관련주 대장주 및 후발주 추천주는? 지금 사도 될까? (페스트,우정바이오,국제약품,전진바이오팜,고려제약,중앙백신,이글벳,파루)",2020-07-07 02:28:10+00:00,699,국제약품,199273,360673,7660,7818.333333
더블유우리투자,국제약품 VS 동성제약 흑사병 관련주 대 췌장암 관련주 [종목대종목],2019-11-14 06:41:30+00:00,404,국제약품,6420,961425,4647.5,5082.5
김희천대표,"중국발 흑사병!, 관련주가 도대체 머야?  왜 난리지? #우정바이오,#이글벳,#종근당바이오,#보령제약,#삼성제약,#파루,#국제약품, 등 매매전략",2019-11-14 05:37:38+00:00,61,국제약품,6420,961425,4647.5,5082.5
진검승부-,[주식투자-2020.07.22] 개헌(세종시) 관련주&amp;후발주 급등 패턴 분석(#유라테크 #프럼파스트 #대주산업 #오스템 #성신양회우 #수돗물유충 #와토스코리아 #국제약품 #카스),2020-07-22 14:33:36+00:00,0,국제약품,6617897,2434919,12108.33333,12783.33333
울산주식트레이더 - 울트,"[주식차트]수돗물 유충 확산!! 수돗물 테마주 타점분석(웰크론한텍, 웹스, 한국주철관, 광동제약) + 국제약품 자랑",2020-07-21 12:39:16+00:00,724,국제약품,4140118,6617897,9143.333333,12108.33333
그레이스파트너스,수돗물 유충 발견 확산 구충제관련주 급등 화일약품/ 국제약품/ 명문제약/ 조아제약,2020-07-21 07:47:09+00:00,6627,국제약품,4140118,6617897,9143.333333,12108.33333
콕스톡TV,"[주식][어린이괴질 관련주] 조아제약, 명문제약, 고려제약, 영진약품, CMG제약, 신풍제약, 국제약품, 경동제약, 경보제약, 삼성제약",2020-05-25 03:24:03+00:00,375,국제약품,318105,732240,7263.333333,7425
심플 관심종목 TV,"동시 진단키트 관련주 간단 차트및 재료 정리 및 상승한이유 // FDA 신청 예정 // 바디텍메드,나노엔텍,앤디포스",2020-09-07 10:22:15+00:00,19008,나노엔텍,1281337,9917221,12175,15525
주식으로 슈퍼직장인,"[최종원]안산 유치원 식중독 집단감염!!(햄버거병, HUS, 용혈성요독증후군, 혈장치료, 혈장치료제, 투석 관련주, 한독, 시노펙스, 녹십자엠에스, 녹십자, 나노엔텍, 진양제약)",2020-06-25 09:39:52+00:00,1376,나노엔텍,4065078,12430189,9413.333333,13591.66667
심플 관심종목 TV,"내일 관심테마! SV인베스트먼트,디지털&amp;가상화폐,윤석열,독감,세종시,LG화학분사,조류 //서연탑메탈,태림포장,대한과학,삼아알미늄,케이씨에스,나라엠앤디,삼성물산,우리기술투자,시노펙스",2020-10-25 10:18:05+00:00,1046,나라엠앤디,353304,689165,10791.66667,11300
손느린아재,[주식] 11월 15일 유망종목 대선관련주 남화산업  남화토건 우원개발 이월드 남선알미늄,2019-11-14 11:08:18+00:00,1210,남선알미늄,9193840,10212568,5050,5308.333333
세렌스톡[Seren's Talk],고려제약/명문제약/조아제약/어린이괴질 관련주/서울바이오시스/HRS/현대에이치씨엔/두산퓨얼셀/한진칼/남영비비안/유니온머티리얼/노바텍/디피씨/남선알미늄/솔브레인/테스/안트로젠/메지온,2020-05-26 15:21:28+00:00,1660,남선알미늄,3256595,4575709,6110,6231.666667
음굿&Umgood,20.10.12. #아프리카돼지열병 #화장품관련주 #이글벳 #한일진공 #남성 #엑세스바이오 #오성첨단소재 #카카오게임즈 #SK바이오팜 #화장품관련주 #체시스 #코스맥스,2020-10-12 10:44:03+00:00,0,남성,95616,26958232,2838.333333,4181.666667
손느린아재,[주식] 11월 15일 유망종목 대선관련주 남화산업  남화토건 우원개발 이월드 남선알미늄,2019-11-14 11:08:18+00:00,1210,남화토건,674259,63930,12883.33333,13166.66667
Today stock 투스탁,2021년 1월 5일자 마이크로바이옴관련주 &quot;네오크레마(311390)&quot; 내맘대로 차트분석^^,2021-01-05 12:27:58+00:00,268,네오크레마,21165,131995,8846.666667,9413.333333
콕스톡TV,"[주식][특징주][마이크로바이옴관련주]제노포커스, 일동제약, 네오크레마, 쎌바이오텍, 비피도",2020-09-23 02:35:47+00:00,679,네오크레마,1410390,81291,8185,7973.333333
도지선생 주식이야기,네오크레마 분석 및 전망 -  마이크로바이옴관련주정리,2020-09-21 20:15:00+00:00,1203,네오크레마,2542,181182,7008.333333,7396.666667
주식-읽어주는-남자,"11월 첫주 이슈 :: 이낙연 테마주, 마이크로바이옴 네오크레마/비피도",2019-11-11 03:52:28+00:00,572,네오크레마,1944301,440969,9441.666667,9855
주식투자 이가람상승패턴,"[주식투자정보]마이크로바이옴 주목! ★127조 시장이 열린다★관련주 (네오크레마, 비피도,제노포커스,쎌바이오텍,에이티넘인베스트먼트, 컴퍼니케이파트스,코센,DSC인베스트먼트,팜스빌)",2019-11-07 17:06:46+00:00,0,네오크레마,293637,2505051,6700,9140
손느린아재,[주식] 10월 28일 특징주 드론관련주 네온테크 이글벳 체시스 제일바이오,2020-10-28 08:04:21+00:00,913,네온테크,1084919,391200,2804.166667,2864.166667
팅킹,네이처셀 (줄기세포 관련주?) - 주식 팅킹 (3738화),2021-01-06 08:40:47+00:00,1083,네이처셀,180378,137332,10283.33333,10516.66667
대갈통_주식투자,에이치엘비 급등 분석!! 줄기세포테마주 에이치엘비생명과학 네이처셀,2020-08-13 08:26:09+00:00,192,네이처셀,346252,272515,9981.666667,10183.33333
주식으로 슈퍼직장인,"[최종원]줄기세포 대장주 차바이오텍 왕의 귀환! 줄기세포와 파킨슨병 치료제 관련주 핵심체크(셀리버리, 신테카바이오, 펩트론, 네이처셀, 파미셀 등)",2020-06-02 09:08:32+00:00,4100,네이처셀,264806,428483,10083.33333,10416.66667
아이스탁TV 아이컴퍼니,"첨생법 관련주 모멘텀 얻나?진원생명과학 바톤을 넘겨 받을 다크호스 종목! (파미셀, 메디포스트, 에스씨엠생명과학, 네이처셀, 녹십자랩셀, 바이오솔루션, 진원생명과학, 종목추천)",2020-08-26 04:59:33+00:00,1124,네이처셀,700215,395149,11183.33333,11116.66667
콕스톡TV,"[주식][특징주][줄기세포 관련주]파미셀, 안트로젠, 강스템바이오텍, 네이처셀, 메디포스트, 에스씨엠생명과학",2020-12-23 02:56:53+00:00,1514,네이처셀,96969,67984,9680,9503.333333
콕스톡TV,"[주식][줄기세포관련주, 안트로젠, 테고사이언스, 네이처셀, 강스템바이오텍, 조아제약, 부광약품",2020-06-25 06:03:17+00:00,962,네이처셀,360476,115560,9691.666667,9681.666667
주식인,"주식 줄기세포 관련주 전세계가 주목하는 줄기세포 권위주! 임상1상+2상+3상+국책과제까지! 500% 대시세의 신호탄이 터졌다! (파미셀,안트로젠,네이처셀,메디포스트,강스템바이오텍)",2020-06-11 10:55:35+00:00,76361,네이처셀,229112,333947,10600,10028.33333
적중리딩TV,[줄기세포 관련주] 네이처셀 - 코로나19 줄기세포 치료제 임상 시험 계획 심사보류 속에서도 +3%% 단타 수익!? 앞으로 대응전략 공개 - 적중리딩TV,2020-05-18 16:26:14+00:00,399,네이처셀,1817573,493106,11310,9743.333333
승리투자그룹,"🥇넥슨지티 급등 또 폭등🥇다음 급등을 이어갈 🧪줄기세포관련주🧬는 무엇??? l 저점 매수 l V자 반등 l W자반등 l 급등주 l주식투자, 주식기초, 주식강의",2020-08-05 02:14:56+00:00,413,넥슨지티,2843526,722765,20408.33333,21041.66667
