채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
복면주달,"주식투자 시황 9 - 미세먼지관련주 수급확산 [하츠,누리플랜,대유위니아,위닉스 등]",2019-03-06 11:30:13+00:00,25,누리플랜,44425,1089406,6278.333333,7508.333333
주식소림사,[주식]미세먼지관련주 공기청정기 필터관련주 상한가! 계속 상승할까? 미세먼지관련주식 차트분석 대유위니아 하츠 위닉스 누리플랜,2019-03-06 05:15:27+00:00,825,누리플랜,44425,1089406,6278.333333,7508.333333
정보의 바다,"냉동고관련주 대한과학,일신바이오 정세균관련주 수산중공업,알루코",2020-10-21 09:02:06+00:00,0,대한과학,1335488,6932838,8700,11400
AP투자연구소 김용재 소장,"대한뉴팜(054670) - 가을, 겨울이면 생각나는 계절 수혜주!!",2020-09-16 06:00:01+00:00,267,대한뉴팜,27719,131225,13166.66667,13216.66667
smileman 스마일맨TV,대현 시나리오-대형주 장세에서 중소형주 장세로 순환매-김동연관련주-언텍트 이후 의류 보복 소비-추운 겨울 의류 관련주-중국 의류 한류까지 엮인다면?-,2021-01-17 10:05:32+00:00,144,대현,3714084,459287,2082.5,1965.833333
정보의 바다,"애플 기아차관련주 엔브이에이치코리아,구영테크,KB오토시스,덕양산업,AP위성,이트론,이화전기,이아이디 등",2021-02-04 07:52:34+00:00,0,덕양산업,243455,6902226,3510,4370.833333
주식X파일,"조류독감 관련주 총정리 - 겨울의 불청객 조류독감 관련주 매매시나리오 - 백신주,수산주,제일바이오,고려제약,이글벳,신라에스지,동원수산,",2020-02-04 00:40:41+00:00,0,동원수산,114871,83781,11091.66667,11200
슈아건TV,"[주식] 계절테마, 봄 황사 미세먼지 관련주 지금부터 준비! 자리가 좋은 여섯 종목 선정 1)위니아딤채 2)디에이치피코리아 3)위닉스 4)삼일제약 5)JW중외제약 6)하츠",2020-11-11 13:27:47+00:00,772,디에이치피코리아,6636,5702,7798.333333,7841.666667
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,모나리자,544277,291021,7140,7268.333333
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,모나리자,149516,658007,5191.666667,5396.666667
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,모나리자,149516,658007,5191.666667,5396.666667
진검승부-,[주식투자-20191021]미세먼지 대장주/대선주 추세 분석(#위닉스 #하츠 #윌비스 #스타플렉스 #모나리자 #신일산업),2019-10-21 12:26:38+00:00,1790,모나리자,943817,177747,4315,4121.666667
그레이스파트너스,"미세먼지 예비저감조치, 미세먼지관련주 하츠/위닉스/모나리자/웰크론",2019-10-21 06:55:06+00:00,144,모나리자,943817,177747,4315,4121.666667
한국TV 증권방송,"평창올림픽, 노로바이러스 관련주 ( 쎌바이오텍,서린바이오,바이오니아)",2018-02-13 08:09:38+00:00,45,바이오니아,83645,83986,9825,10383.33333
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,배럴,83313,221999,10733.33333,11908.33333
소확재테크.d동동이형아b,"주식) 대량거래터진 풍력/탄소배출 테마주: 동국S&amp;C, 포메탈, 서암기계공업, 삼강엠앤티, 유니슨, 한솔홈데코",2021-01-05 14:32:16+00:00,1002,삼강엠앤티,326386,473293,21816.66667,22625
이상로의빨간주식,"네패스, 현대중공업, 미세먼지관련주, 위닉스, 비메모리반도체관련주, 유가관련주, 삼성엔지니어링, 에프에스티 4월24일 MTN 이상로의 새빨간투자",2019-04-24 08:35:23+00:00,1994,삼성엔지니어링,116511,58393,16541.66667,16291.66667
슈아건TV,"[주식] 계절테마, 봄 황사 미세먼지 관련주 지금부터 준비! 자리가 좋은 여섯 종목 선정 1)위니아딤채 2)디에이치피코리아 3)위닉스 4)삼일제약 5)JW중외제약 6)하츠",2020-11-11 13:27:47+00:00,772,삼일제약,10230,5377,21608.33333,21491.66667
한국TV 증권방송,"평창올림픽, 노로바이러스 관련주 ( 쎌바이오텍,서린바이오,바이오니아)",2018-02-13 08:09:38+00:00,45,서린바이오,274073,68192,12861.66667,11692.83333
소확재테크.d동동이형아b,"주식) 대량거래터진 풍력/탄소배출 테마주: 동국S&amp;C, 포메탈, 서암기계공업, 삼강엠앤티, 유니슨, 한솔홈데코",2021-01-05 14:32:16+00:00,1002,서암기계공업,55580,628176,5701.666667,6710
진검승부-,[주식투자-2020.08.06] 홍수/장마 수혜주 &amp; 윤석열 관련주 분석(#서연 #제일테크노스 #효성오앤비 #조비 #폐기물 #인선이엔티 #제넨바이오 #와이엔텍 #비료 #아시아종묘),2020-08-06 15:05:45+00:00,2336,서연,1635002,8653738,8646.666667,11091.66667
슬기로운 매매생활,"[임정우] 폐기물 관련주 잘 봤죠? 테마의 향후 방향은? (인선이엔티,코엔텍,서한,장마 관련주,폐기물 관련주,홍수 관련주)",2020-08-10 06:06:43+00:00,1731,서한,330794,132471,1131.666667,1158.333333
슬기로운 매매생활,"[임정우] 폐기물 관련주를 추천했던 이유는? 대응방법 (인선이엔티,코엔텍,서한,장마 관련주,폐기물 관련주,홍수 관련주)",2020-08-03 08:29:47+00:00,1416,서한,1864845,2057984,1160.833333,1217.5
빨간불의 주식방송,"내일 주목할 대장주 테마 [공기청정기] 성호전자, 위닉스, 코웨이, 카스 향후 주가 전망은?",2020-11-25 08:14:31+00:00,820,성호전자,20872411,35353922,1618.333333,1895
장뚱샘TV- 주식20년 초고수가 나타났다!,"[세력차트] &quot;탄소배출권관련주&quot;, 에코프로, KC코트렐, 에코바이오, 세종공업, 한솔홈데코, 후성",2021-01-07 23:00:00+00:00,1778,세종공업,145702,577153,9010,9520
소확재테크.d동동이형아b,"주식) 바이든 공약, 탄소배출권 관련주: 세종공업, KC코트렐, 에코바이오, 이건산업, 한솔홈데코, 휴켐스, 에코프로",2020-11-09 12:14:45+00:00,1265,세종공업,104702,169549,9106.666667,9200
정보의 바다,"냉동고관련주 대한과학,일신바이오 정세균관련주 수산중공업,알루코",2020-10-21 09:02:06+00:00,0,수산중공업,12327201,21407998,1935,2415.833333
투자클라쓰,"[코엔텍, 시노펙스] 역대급 장마, 이번엔 태풍!! 폐기물 처리 관련주 급등 각!!",2020-08-10 06:50:23+00:00,469,시노펙스,3442360,2811026,6293.333333,6350
주식X파일,"조류독감 관련주 총정리 - 겨울의 불청객 조류독감 관련주 매매시나리오 - 백신주,수산주,제일바이오,고려제약,이글벳,신라에스지,동원수산,",2020-02-04 00:40:41+00:00,0,신라에스지,1329055,189192,10476.66667,9488.333333
