업로드 시간,해당일 평균 주가,influence,influence_score
2020-07-07 08:26:18+00:00,278.6666666666667,5.0,0
2020-07-07 08:26:18+00:00,278.6666666666667,5.0,0
2020-04-21 07:49:14+00:00,2598.333333333333,5.0,0
2020-04-21 07:49:14+00:00,2995.833333333333,5.0,0
2020-04-21 07:49:14+00:00,1780.0,5.0,0
2020-09-14 08:54:03+00:00,5143.333333333333,5.0,0
2020-09-14 08:54:03+00:00,4450.833333333333,5.0,0
2020-04-02 08:29:04+00:00,12441.666666666664,5.0,0
2020-04-02 08:29:04+00:00,13616.666666666664,5.0,0
2020-02-11 08:14:50+00:00,4540.0,5.0,0
2020-02-11 08:14:50+00:00,4540.0,5.0,0
2020-02-11 08:14:50+00:00,716.3333333333335,5.0,0
2020-02-11 08:14:50+00:00,716.3333333333335,5.0,0
2020-02-11 08:14:50+00:00,2617.5,5.0,0
2020-02-11 08:14:50+00:00,2617.5,5.0,0
2020-02-11 08:14:50+00:00,3166.666666666666,5.0,0
2020-02-11 08:14:50+00:00,3166.666666666666,5.0,0
2020-02-11 08:14:50+00:00,3166.666666666666,5.0,0
2020-02-11 08:14:50+00:00,3166.666666666666,5.0,0
2021-02-01 08:14:34+00:00,57533.33333333334,5.0,0
2021-02-01 08:14:34+00:00,5290.0,5.0,0
2020-07-09 08:10:46+00:00,13141.666666666664,5.0,0
2020-07-09 08:10:46+00:00,17766.666666666668,5.0,0
2020-07-09 08:10:46+00:00,11325.0,5.0,0
2020-07-09 08:10:46+00:00,9896.666666666666,5.0,0
2020-07-09 08:10:46+00:00,7148.333333333332,5.0,0
2020-07-09 08:10:46+00:00,38625.0,5.0,0
2021-01-27 09:12:51+00:00,20150.0,5.0,0
2021-01-27 09:12:51+00:00,2472.5,5.0,0
2021-01-27 09:12:51+00:00,115916.66666666669,5.0,0
2021-01-27 09:12:51+00:00,3753.333333333334,5.0,0
2021-01-27 09:12:51+00:00,11300.0,5.0,0
2021-01-18 07:52:44+00:00,8738.333333333334,5.0,0
2021-01-18 07:52:44+00:00,38308.333333333336,5.0,0
2021-01-18 07:52:44+00:00,36141.66666666666,5.0,0
2021-01-18 07:52:44+00:00,28275.0,5.0,0
2020-05-14 08:23:52+00:00,27191.66666666667,5.0,0
2020-05-14 08:23:52+00:00,12058.333333333336,5.0,0
2020-05-14 08:23:52+00:00,29503.66666666667,5.0,0
2020-05-14 08:23:52+00:00,19540.0,5.0,0
2020-05-14 08:23:52+00:00,4902.5,5.0,0
2020-09-03 08:38:49+00:00,12233.333333333336,5.0,0
2020-09-03 08:38:49+00:00,21194.0,5.0,0
2020-09-03 08:38:49+00:00,7720.0,5.0,0
2020-09-03 08:38:49+00:00,14275.0,5.0,0
2020-03-23 08:24:02+00:00,21783.33333333333,5.0,0
2020-03-23 08:24:02+00:00,8666.666666666666,5.0,0
2020-03-23 08:24:02+00:00,3392.5,5.0,0
2020-11-10 10:17:44+00:00,5848.333333333332,5.0,0
2020-11-10 10:17:44+00:00,5166.666666666667,5.0,0
2020-11-10 10:17:44+00:00,21150.0,5.0,0
2020-11-10 10:17:44+00:00,20141.666666666668,5.0,0
2020-11-10 10:17:44+00:00,103250.0,5.0,0
2020-11-10 10:17:44+00:00,15166.666666666664,5.0,0
2020-08-27 08:17:28+00:00,4742.5,5.0,0
2020-08-27 08:17:28+00:00,2220.0,5.0,0
2020-08-27 08:17:28+00:00,6985.0,5.0,0
2020-08-27 08:17:28+00:00,5036.666666666667,5.0,0
2020-08-27 08:17:28+00:00,1367.5,5.0,0
2020-12-16 07:52:54+00:00,2835.0,5.0,0
2020-12-16 07:52:54+00:00,58716.66666666666,5.0,0
2020-12-16 07:52:54+00:00,30600.0,5.0,0
2020-12-22 02:13:42+00:00,28925.0,51606.0,0.9
2020-12-22 02:13:42+00:00,9076.666666666666,51606.0,0.9
2020-01-06 08:24:30+00:00,7421.666666666668,51606.0,0.9
2019-11-14 10:43:44+00:00,28909.66666666667,51606.0,0.9
2019-11-14 10:43:44+00:00,6821.666666666668,51606.0,0.9
2020-10-19 05:21:26+00:00,76416.66666666669,51606.0,0.9
2020-12-03 07:47:21+00:00,105666.66666666669,68.0,0.1
2020-08-04 13:28:59+00:00,4075.833333333334,64.0,0.1
2020-08-04 13:28:59+00:00,6008.333333333332,64.0,0.1
2020-10-25 09:39:17+00:00,5885.0,64.0,0.1
2020-10-25 09:39:17+00:00,3572.5,64.0,0.1
2020-10-25 09:39:17+00:00,12233.333333333336,64.0,0.1
2020-10-25 09:39:17+00:00,12683.333333333336,64.0,0.1
2020-10-25 09:39:17+00:00,30783.33333333333,64.0,0.1
2020-07-28 12:22:58+00:00,8370.0,64.0,0.1
2020-07-28 12:22:58+00:00,8370.0,64.0,0.1
2020-07-28 12:22:58+00:00,8370.0,64.0,0.1
2020-07-28 12:22:58+00:00,8370.0,64.0,0.1
2020-08-10 13:21:41+00:00,9446.666666666666,64.0,0.1
2020-08-10 13:21:41+00:00,4051.666666666666,64.0,0.1
2020-08-10 13:21:41+00:00,3480.0,64.0,0.1
2020-08-10 13:21:41+00:00,11937.5,64.0,0.1
2020-08-10 13:21:41+00:00,8750.0,64.0,0.1
2020-08-10 13:21:41+00:00,2431.6666666666665,64.0,0.1
2020-08-10 13:21:41+00:00,5248.333333333333,64.0,0.1
