채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
달팽이주식,"뉴딜도 우량주다, 뉴딜이후 증시 전망 (LG화학,현대차,삼성SDI,삼성바이오로직스,카카오,네이버,SK이노베이션,엔씨소프트,삼성전자 주가 전망,뉴딜관련주,그린뉴딜,디지털뉴딜)",2020-09-06 08:34:27+00:00,2822,LG화학,254198,141495,744000,732333.3333
시그널스탁TV,"삼성전자,삼성SDI,LG화학,셀트리온헬스케어,5G관련주,RFHIC,서진시스템",2021-01-05 11:00:07+00:00,0,LG화학,81147,119518,885166.6667,906000
머니허니 미란앵 커,마켓브리핑 20190703 NAVER(플랫폼주/핀테크주/AI 관련주) 에이스토리(콘텐츠주/드라마주/넷플릭스 수혜주/IP 관련주),2019-07-08 09:45:30+00:00,304,NAVER,28490,50189,120166.6667,118166.6667
주식의민족,"블록체인 관련주 NAVER  14만원 익절까지 걸린 시간 단, 2분 14초",2021-01-06 01:19:44+00:00,0,NAVER,427252,205573,297166.6667,288500
아는 것이 힘이다 - 주식연구소,"온라인결제 핀테크 관련주 NHN한국사이버결제, 원래 좋았다. 언텍트라 더좋다",2020-03-24 09:00:27+00:00,275,NHN한국사이버결제,175943,172560,24246,25426.5
공부하는 동학개미,"[임정우] 오픈뱅킹 관련주 슬금슬금 가고 있습니다~ 우리만 알자구요 (오픈뱅킹 관련주,핀테크 관련주,한국전자인증,NHN한국사이버결제,이니텍,아톤)",2019-12-11 05:28:17+00:00,16991,NHN한국사이버결제,21729,42827,19298.5,19368.83333
월스트리트경제TV,핀테크 관련주 체크!✔️ #KG이니시스 #NICE평가정보 #다날 │ 오감만족,2019-07-11 05:06:17+00:00,275,NICE평가정보,29559,9065,15566.66667,15475
시그널스탁TV,"삼성전자,삼성SDI,LG화학,셀트리온헬스케어,5G관련주,RFHIC,서진시스템",2021-01-05 11:00:07+00:00,0,RFHIC,86724,105590,44958.33333,45741.66667
박찬홍 '홍티비',"비트코인, 관련주 매수하기전 보고가야 할 정보 총정리!(우리기술투자,인프라웨어,SBI인베스트먼트,비덴트,에이티넘인베스트먼트,제이씨현시스템)",2020-11-24 14:36:56+00:00,91,SBI인베스트먼트,2056313,54930961,942.5,1286.666667
근투생,"[가상화폐 관련주 완벽정리] 비트코인  관련주 TOP5 종목 추천 (우리기술투자, 에이티넘인베스트, 케이피엠테크, 비덴트, SBI인베스트먼트 주가전망)",2020-10-22 09:00:09+00:00,6627,SBI인베스트먼트,1818137,3791518,885,915.3333333
4060TV,"(비트코인 1만불 돌파) 암호화폐 관련주 추천서열, 비트코인, 암호화폐, 가상화폐, SCI평가정보, 우리기술투자, 비덴트, 에이티넘인베스트, SBI인베스트먼트, 비티원,",2020-07-27 14:26:14+00:00,1131,SBI인베스트먼트,330707,556065,720.8333333,743
라온제나주식독법,"SBI핀테크솔루션즈(950110),주가전망,차트분석,핀테크관련주,종목진단",2019-04-23 06:41:20+00:00,64,SBI핀테크솔루션즈,4396,3819,12683.33333,12683.33333
4060TV,"(비트코인 1만불 돌파) 암호화폐 관련주 추천서열, 비트코인, 암호화폐, 가상화폐, SCI평가정보, 우리기술투자, 비덴트, 에이티넘인베스트, SBI인베스트먼트, 비티원,",2020-07-27 14:26:14+00:00,1131,SCI평가정보,720620,986443,5333.333333,5435
비타맨-비행기 타는 남자,"데이터3법 관련주 (오픈베이스, 소프트센, 테이터솔루션, SCI평가정보 등)",2019-12-05 01:53:55+00:00,362,SCI평가정보,493619,53275,2667.5,2547.5
하승훈의 대박 주식투자,12월8일 꼭봐야할 주도 테마주 셀트리온헬스케어 종근당바이오 녹십자랩셀 이오플로우 KMH 에이치엘비생명과학 에스티팜 SGA 한국정보 동신건설 서연탑메탈 KNN 자비스 유비쿼스..,2020-12-07 14:47:26+00:00,23479,SGA,910523,605239,974.1666667,947.6666667
주식으로 슈퍼직장인,"[최종원]공인인증서 폐지? 다음 일정 포인트는? 대장은 핀테크? 보안?(한국정보인증, 한국전자인증, 라온시큐어, 드림시큐리티, 시큐브, SGA솔루션즈, 민앤지, 보안주 등)",2020-05-18 09:34:28+00:00,5,SGA솔루션즈,37719,480314,901.8333333,973.8333333
재테크 슈퍼거미 법학자훈훈이,"[슈퍼거미] 셀트리온헬스케어 주가 전망 + SK, 기아차, 로봇관련주 주가 전망",2021-01-26 17:04:45+00:00,511,SK,305612,123346,348916.6667,340250
매일경제TV,대변신 하는 &#39;SKC&#39;vs핀테크 수혜주 &#39;이크레더블&#39; / 지금 살까말까? / 매일경제TV,2020-09-01 04:45:06+00:00,1131,SKC,70309,49746,91300,91816.66667
달팽이주식,"뉴딜도 우량주다, 뉴딜이후 증시 전망 (LG화학,현대차,삼성SDI,삼성바이오로직스,카카오,네이버,SK이노베이션,엔씨소프트,삼성전자 주가 전망,뉴딜관련주,그린뉴딜,디지털뉴딜)",2020-09-06 08:34:27+00:00,2822,SK이노베이션,200245,209702,147916.6667,149750
코디,AR.VR.관련주. SK하이닉스,2020-12-03 07:47:21+00:00,91,SK하이닉스,2724563,1667795,105666.6667,115250
윤정두 '주식투시경',코로나19 변동성 확대 테마주 &amp; 셀트리온헬스케어 &amp;  씨젠 &amp; 대웅 &amp; SK하이닉스 &amp; 삼성전자 (12월 13일 야간 특별교육),2020-12-14 08:45:16+00:00,558,SK하이닉스,763756,650603,116666.6667,116916.6667
주식X파일,"특징테마 및 관련주 분석 - 수소차, 3D프린터, 미디어 관련주 - 에스퓨얼셀, 두산퓨얼셀, 일진다이아, 제이엔케이히터, TPC, 상한가",2020-06-23 09:35:13+00:00,91,TPC,763261,1732397,3968.333333,4158.333333
정보의 바다,"3D프린터관련주 TPC,맥스로텍,로보스타,티앤알바이오팹,세중",2020-06-23 08:04:18+00:00,1280,TPC,763261,1732397,3968.333333,4158.333333
고수경제TV,"[창투사 관련주] 아주IB투자, DSC인베스트먼트, TS인베스트먼트, 에이티넘인베스트, 디지털 뉴딜 수혜주 매수타점은?",2020-10-29 08:36:11+00:00,6627,TS인베스트먼트,214572,9312514,3095,4103.333333
외인잡는개미,쿠팡관련주 주식단타 종목추천 (동방 KTH 알로이스 갤럭시아머니트리),2021-01-11 21:15:00+00:00,2365,갤럭시아머니트리,107892,483541,4095,3986.666667
주식으로 슈퍼직장인,"[최종원]정세균 총리 임명 카운트다운? 정세균 관련주 정리 할 때가 됐나~?(수산중공업, 알루코, 피에스케이, 금양 등)",2019-12-16 10:52:54+00:00,795,금양,32050,11849,2557.5,2569.166667
주식으로 슈퍼직장인,"[최종원]문대통령의 총리 요청을 받은 정세균 의원. 내일이 기대되는 정세균 관련주!(정세균 테마주, 수산중공업, 알루코, 금양 등)",2019-12-12 09:31:13+00:00,947,금양,22055,59122,2444.166667,2485
주식으로 슈퍼직장인,"[최종원] 삼성전자 사물인터넷 프로세서 공개! 관련주 엑사이엔씨,기가레인,에스넷,효성ITX,케이사인 2탄",2019-05-07 07:47:35+00:00,238,기가레인,2231102,1573837,2535,2567.5
주식으로 슈퍼직장인,"[최종원] 삼성전자 사물인터넷 프로세서 공개! 관련주 엑사이엔씨,기가레인,에스넷,효성ITX,케이사인 1탄",2019-05-07 07:26:47+00:00,1302,기가레인,2231102,1573837,2535,2567.5
주식으로 슈퍼직장인,"[최종원]SKT 인천 스마트시티 계약! IoT 사물인터넷 관련주 총정리 2탄(에이디칩스,에스넷,링네트,기가레인,효성ITX)",2019-04-29 09:44:46+00:00,304,기가레인,188382,256973,2348.333333,2401.666667
주식으로 슈퍼직장인,"[최종원]SKT 인천 스마트시티 계약! IoT 사물인터넷 관련주 총정리 1탄(에이디칩스,에스넷,링네트,기가레인,효성ITX)",2019-04-29 09:32:16+00:00,21471,기가레인,188382,256973,2348.333333,2401.666667
주식으로 슈퍼직장인,"[임정우] 서울시장 보궐선거 관련 정치테마주.정세균.안철수.오세훈 관련주 (수산중공업,써니전자,안랩,까뮤이앤씨,지에스이,다믈멀티미디어,진양화학)",2020-10-21 04:55:16+00:00,911,까뮤이앤씨,494242,580634,1913.333333,1973.333333
익절TV,한국파마 및 이재명 윤석열 정세균 안철수 대선관련주 총정리 및 분석 신원종합개발 서연탑메탈 모베이스 전자 신세계건설 동신건설 오리엔트정공 성안 수산중공업 까뮤이앤씨 써니전자 대선주,2021-01-19 03:49:27+00:00,529,까뮤이앤씨,325307,1521788,3250,3221.666667
슬기로운 매매생활,"[최강주] VR,AR 규제 혁신 로드맵 발표 - 가상현실,증강현실 관련주(나노캠텍,한국큐빅,이랜텍,에스코넥,한빛소프트,아이엠)",2020-07-27 22:56:37+00:00,2822,나노캠텍,21201,6976433,1707.5,2055
심플 관심종목 TV,"文대통령 &quot;VR·AR 규제 일단 모두 풀라 관련주 정리 및 재료에 대한 생각 // 한빛소프트,와이제이엠게임즈,이랜텍,아이엠,나노캠텍,드래곤플라이",2020-07-27 10:41:42+00:00,304,나노캠텍,21201,6976433,1707.5,2055
콕스톡TV,"[주식][디지털SOC관련주]  나무기술, 엑셈, 옴니시스템, 전파기지국, 데이터솔루션, 에스넷, 소프트센",2020-06-03 07:35:22+00:00,916,나무기술,96176,119037,3864.166667,3796.666667
아틀라스산업연구소,"5G 네트워크 가상화(NFV) 동향 및 관련주 네트워크 슬라이싱 나무기술, 에이스테크, 케이엠더블유, 오이솔루션, 에스넷 아틀라스산업연구소",2019-05-22 15:16:43+00:00,0,나무기술,489722,376058,3360.833333,3183.333333
한강 View 티비_주식소통채널,"1월 JP모건 헬스케어 관련주를 주목하자!셀리버리,에이비엘바이오,셀트리온,크리스탈지노믹스,오스코텍,나이벡,한강뷰티비",2020-12-14 12:40:35+00:00,1719,나이벡,80505,71513,43408.33333,44708.33333
골드크로스주식,주식_성공투자★VR AR 가상현실 증강현실의 미래 _ 오늘의 상한가분석_김보현 주식연구소_남선알미늄 태원물산 인터엠 보해양조 드래곤플라이 텔루스 팅크웨어 에스넷 삼성에스디에스,2018-12-03 10:27:53+00:00,6327,남선알미늄,8107103,24258802,1758.333333,2285
주식분석,"정치테마주 ( 이낙연, 안철수, 이재명, 윤석렬, 정세균, 김경수 ) 안랩, 지에스이 매커스, 삼부토건 남선알미늄 남성 남화산업, 남화토건, 덕성우, 서연, 에이텍, 헹지엘리트",2020-11-12 15:40:33+00:00,1153,남선알미늄,624900,502753,4429.166667,4384.166667
주식분석,"정치테마주 ( 이낙연, 안철수, 이재명, 윤석렬, 정세균, 김경수 ) 안랩, 지에스이 매커스, 삼부토건 남선알미늄 남성 남화산업, 남화토건, 덕성우, 서연, 에이텍, 헹지엘리트",2020-11-12 15:40:33+00:00,1153,남성,929199,628788,4097.5,3925
주식분석,"정치테마주 ( 이낙연, 안철수, 이재명, 윤석렬, 정세균, 김경수 ) 안랩, 지에스이 매커스, 삼부토건 남선알미늄 남성 남화산업, 남화토건, 덕성우, 서연, 에이텍, 헹지엘리트",2020-11-12 15:40:33+00:00,1153,남화산업,6057,5193,11925,11875
주식분석,"정치테마주 ( 이낙연, 안철수, 이재명, 윤석렬, 정세균, 김경수 ) 안랩, 지에스이 매커스, 삼부토건 남선알미늄 남성 남화산업, 남화토건, 덕성우, 서연, 에이텍, 헹지엘리트",2020-11-12 15:40:33+00:00,1153,남화토건,7011,8365,13900,13800
세렌스톡[Seren's Talk],이낙연 관련주 VS 정세균 관련주/서원/대창/주연테크/남화토건/수산중공업/큐로홀딩스/신테카바이오/올리패스/압타바이오/에스텍파마/엔케이물산/넥스트아이/로보로보/주식공부/주식특강,2019-12-17 14:32:10+00:00,739,남화토건,79113,394464,16300,16983.33333
대박투나잇,"[주식] 5G+사물인터넷! 꼭 알아야하는 수혜주 공개! (매직마이크로, 삼지전자, 넥스트BT, 카페24, 옵트론텍)",2019-06-11 06:42:48+00:00,264,넥스트BT,1323765,404436,1884.166667,1887.5
세렌스톡[Seren's Talk],이낙연 관련주 VS 정세균 관련주/서원/대창/주연테크/남화토건/수산중공업/큐로홀딩스/신테카바이오/올리패스/압타바이오/에스텍파마/엔케이물산/넥스트아이/로보로보/주식공부/주식특강,2019-12-17 14:32:10+00:00,739,넥스트아이,6791710,912241,1760,1682.5
푸시리포트,"[듣는주식리포트] 넥슨지티ㆍ블록체인, 과연 게임업계를 평정할까?  [블록체인관련주ㅣ채상희 연구원ㅣ푸시리포트]",2021-01-27 09:30:01+00:00,902,넥슨지티,342141,161714,15641.66667,14500
급등이 관심종목 창고,"9th 대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-01-26 13:23:01+00:00,652,녹십자,86571,147613,458583.3333,504583.3333
급등이 관심종목 창고,"대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-02-02 14:30:34+00:00,499,녹십자,43955,36744,420416.6667,432666.6667
하승훈의 대박 주식투자,12월8일 꼭봐야할 주도 테마주 셀트리온헬스케어 종근당바이오 녹십자랩셀 이오플로우 KMH 에이치엘비생명과학 에스티팜 SGA 한국정보 동신건설 서연탑메탈 KNN 자비스 유비쿼스..,2020-12-07 14:47:26+00:00,23479,녹십자랩셀,960577,559091,79850,85983.33333
급등이 관심종목 창고,"9th 대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-01-26 13:23:01+00:00,652,녹십자홀딩스,224280,285961,48033.33333,49441.66667
급등이 관심종목 창고,"대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-02-02 14:30:34+00:00,499,녹십자홀딩스,104164,127678,43191.66667,42900
주식자동매매주식몰,2020.09.08 주식자동매매프로그램 오토핫키 사물 인터넷 관련주 누리텔레콤 주가 포착! (주식몰),2020-09-08 01:35:34+00:00,1280,누리텔레콤,1739776,3468486,7331.666667,8080
참치형-올바른 주식투자,"스마트시티 2025년까지 10조투자? 관련주 투자해볼만한가? (옴니시스템, 누리텔레콤, 데일리블록체인, 케이씨에스, 아이디스, 더존비즈온)",2020-10-22 17:06:04+00:00,5,누리텔레콤,16217,2854396,7390,8965
모두투자그룹,"온라인결제 오픈뱅킹 핀테크 최대 수혜주는? 앞으로 계속 상승할까?? 인포뱅크, 다날 등 목표가와 손절 #인포뱅크주가 #다날주가 #핀테크관련주 [모두투자그룹 l 최병진 전문가]",2020-10-13 10:33:37+00:00,658,다날,1152503,594940,5170,5230
박정식의 주식디자인연구소,주식투자 오픈뱅킹 시범운영 이슈 핀테크 관련주 살펴보자 카카오 naver KG이니시스 다날 아모텍 KG모빌리언스 코나아이 민앤지 웹케시,2019-10-28 07:47:53+00:00,2556,다날,139807,302134,3370.833333,3432.5
이상로의빨간주식,"다날 휴대폰결제 수혜, 핀테크관련주 성장 직접적인 수혜 될 수 있을까? 재무제표분석, 이상로의 차트분석 &amp; 차트공부",2019-08-22 09:41:42+00:00,1046,다날,770195,425943,3472.5,3357.5
월스트리트경제TV,핀테크 관련주 체크!✔️ #KG이니시스 #NICE평가정보 #다날 │ 오감만족,2019-07-11 05:06:17+00:00,275,다날,339626,263310,3551.666667,3545.833333
이데일리TV,다날(064260)... 암호화폐 관련주_테마가 이슈 (20201117),2020-11-17 06:29:46+00:00,1953,다날,388278,3065986,5073.333333,5160
오현진,다날 삼성페이 온라인진출 본격화_오현진팀장,2020-02-26 01:35:29+00:00,1002,다날,6493403,2393019,3541.666667,3540.833333
몽간주식TV : 투자 전문가를 꿈꾸다,"[장기투자 우량주] 다우데이타, 빅데이터 IT기업 관련주 / 4차산업 관련주 / 키움증권 종속회사",2020-11-08 13:31:50+00:00,99,다우데이타,28232,14768,12083.33333,12000
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,11495,다우데이타,77501,52599,13533.33333,13933.33333
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,275,다우데이타,77501,52599,13533.33333,13933.33333
주식차트대장,"[민앤지][위세아이텍] 마이데이터 관련주 분석! 추천주 AS 평화산업,티웨이홀딩스,세명전기,대양금속,용평리조트,태광",2021-02-02 13:53:45+00:00,161,대양금속,143870,96454,4050,4167.5
CBS News,"쿠팡, 나스닥 상장 예비심사 통과…동방-대영포장 등 관련주에 투자자 관심↑",2021-01-11 08:27:47+00:00,902,대영포장,1211562,39490655,1493.333333,1905.833333
급등이 관심종목 창고,"9th 대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-01-26 13:23:01+00:00,652,대웅,148779,93791,52866.66667,51983.33333
급등이 관심종목 창고,"대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-02-02 14:30:34+00:00,499,대웅,71406,152784,47116.66667,49500
윤정두 '주식투시경',코로나19 변동성 확대 테마주 &amp; 셀트리온헬스케어 &amp;  씨젠 &amp; 대웅 &amp; SK하이닉스 &amp; 삼성전자 (12월 13일 야간 특별교육),2020-12-14 08:45:16+00:00,558,대웅,2876202,671927,53833.33333,48358.33333
급등이 관심종목 창고,"9th 대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-01-26 13:23:01+00:00,652,대웅제약,37861,51667,165666.6667,165916.6667
급등이 관심종목 창고,"대웅, 대웅제약 외 제약 관련주 차트해석 Time (종근당, 종근당바이오, 셀트리온제약,셀트리온헬스케어, 셀트리온, 현대바이오, 녹십자, 녹십자홀딩스 포함)",2021-02-02 14:30:34+00:00,499,대웅제약,19652,35491,157083.3333,161083.3333
세렌스톡[Seren's Talk],이낙연 관련주 VS 정세균 관련주/서원/대창/주연테크/남화토건/수산중공업/큐로홀딩스/신테카바이오/올리패스/압타바이오/에스텍파마/엔케이물산/넥스트아이/로보로보/주식공부/주식특강,2019-12-17 14:32:10+00:00,739,대창,602217,15494701,1475,1694.166667
정보의 바다,"냉동고관련주 대한과학,일신바이오 정세균관련주 수산중공업,알루코",2020-10-21 09:02:06+00:00,0,대한과학,1335488,6932838,8700,11400
JM Investment,"정세균 관련주 - 총 정리(수산중공업,케이탑리츠,AP위성,알루코,쌍용양회,대한약품)",2019-12-17 07:20:51+00:00,1756,대한약품,1353,1209,31133.33333,31575
신박사,"더존비즈온 - 디지털 뉴딜정책 최대 수혜주 ㅣ 클라우드, 빅데이터 가치 부각될 것!",2020-10-07 22:15:03+00:00,8614,더존비즈온,20394,43809,109000,110000
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,11495,더존비즈온,576451,236450,117000,124666.6667
신박사,"더존비즈온 - 디지털 뉴딜정책 최대 수혜주 ㅣ 클라우드, 빅데이터 가치 부각될 것!",2020-10-07 22:15:03+00:00,529,더존비즈온,20394,43809,109000,110000
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,275,더존비즈온,576451,236450,117000,124666.6667
참치형-올바른 주식투자,"스마트시티 2025년까지 10조투자? 관련주 투자해볼만한가? (옴니시스템, 누리텔레콤, 데일리블록체인, 케이씨에스, 아이디스, 더존비즈온)",2020-10-22 17:06:04+00:00,5,더존비즈온,15532,4931,104666.6667,104333.3333
주세남,수산중공업 삼부토건 에이텍 덕성 정세균 테마쟁이 수익남,2020-11-26 05:25:52+00:00,620,덕성,322928,205968,9096.666667,9065
박정식의 주식디자인연구소,주식투자 정세균 지하고속도로 개발 관련주 특수건설 이화공영 우원개발 코리아에스이 동아지질 덕신하우징 삼호개발 kt서브마린,2020-07-07 09:22:37+00:00,1588,덕신하우징,237057,15235919,1467.5,1625
투자클라쓰,"[데이타솔루션, 파이오링크] 정부, 데이터댐 사업 본격화 // 디지털뉴딜 관련주 계속 주목!!",2020-09-08 13:32:22+00:00,670,데이타솔루션,3926750,1059413,9681.666667,10003.33333
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,11495,데이타솔루션,134902,379103,7920,8503.333333
대갈통_주식투자,데이타솔루션 뉴딜 급등!! 디지털 뉴딜테마주 빅데이터,2020-07-09 06:57:41+00:00,74,데이타솔루션,1301085,7424566,6533.333333,8815
투자클라쓰,"[데이타솔루션, 파이오링크] 정부, 데이터댐 사업 본격화 // 디지털뉴딜 관련주 계속 주목!!",2020-09-08 13:32:22+00:00,875,데이타솔루션,3926750,1059413,9681.666667,10003.33333
심플 관심종목 TV,"정부 뉴딜에 170조 투자, 디지털뉴딜 관련주 섹터별 정리/ #데이터댐#클라우드#AI#빅데이터#5G // 데이타솔루션,솔트룩스,더존비즈온,다우데이타,쏠리드,케이엠더블유,서진시스템",2020-09-06 07:30:04+00:00,275,데이타솔루션,134902,379103,7920,8503.333333
잠수함 Stock,VR AR 관련주 일정 챙기기 / 덱스터 위지윅스튜디오 동운아나텍 드래곤플라이 엠게임 이랜텍 한빛소프트,2020-08-06 15:55:09+00:00,0,덱스터,85216,90565,5891.666667,5781.666667
북꼼,"VR, AR 규제 폐지 관련주 지금이 매수 적기다! VR,AR 관련주(이랜텍, 한빛소프트, 와이제이엠게임즈, 드래곤플라이,아이엠, 덱스터)",2020-07-30 05:22:07+00:00,1872,덱스터,748038,144910,5966.666667,5783.333333
무료종목추천ᅳ주식스텔스,가상현실 증강현실 AR/VR 관련 테마주 관련종목 규제완화이랜텍 한빛소프트 아이엠 와이제이엠게임즈 드래곤플라이 덱스터 위지웍스튜디오 주식무료방송 주식스텔스,2020-07-28 07:01:39+00:00,238,덱스터,2883121,240771,5491.666667,5353.333333
MTN 머니투데이방송,"[조상기의 즐.투.생] 오늘의 투자 스토리 &#39;의약품,헬스케어, 화장품&#39; - 동국제약,브이티지엠피 / 머니투데이방송 (증시, 증권)",2020-12-22 02:13:42+00:00,1531,동국제약,102125,299888,28925,28941.66667
외인잡는개미,쿠팡관련주 주식단타 종목추천 (동방 KTH 알로이스 갤럭시아머니트리),2021-01-11 21:15:00+00:00,2365,동방,859956,12194234,2273.333333,3855
CBS News,"쿠팡, 나스닥 상장 예비심사 통과…동방-대영포장 등 관련주에 투자자 관심↑",2021-01-11 08:27:47+00:00,902,동방,859956,12194234,2273.333333,3855
주주톡,동방 주가 전망 &quot;쿠팡 관련주의 미래&quot;,2021-01-18 07:19:25+00:00,2759,동방,4167014,5792010,4953.333333,4491.666667
진검승부-,[주식투자-2021.01.25] 이재명 관련주 고점 분석/대선정책주로의 트렌드 전환(#이낙연 #정세균 #신라에스지 #토탈소프트 #수산아이앤티 #동신건설 #프리엠스 #카스 #정다운),2021-01-25 13:33:16+00:00,2405,동신건설,104417,99168,44058.33333,43866.66667
무쏘TV-진검승부,[주식투자-2021.01.25] 이재명 관련주 전체 분석!  대선 정책주를 준비하라!(#이낙연 #정세균 #신라에스지 #토탈소프트 #수산아이앤티 #동신건설 #프리엠스 #카스 #정다운,2021-01-25 13:21:01+00:00,1404,동신건설,104417,99168,44058.33333,43866.66667
익절TV,한국파마 및 이재명 윤석열 정세균 안철수 대선관련주 총정리 및 분석 신원종합개발 서연탑메탈 모베이스 전자 신세계건설 동신건설 오리엔트정공 성안 수산중공업 까뮤이앤씨 써니전자 대선주,2021-01-19 03:49:27+00:00,529,동신건설,213067,102687,47808.33333,48000
