채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
세렌스톡[Seren's Talk],"이낙연 관련주(서원/범양건영/동양물산)/정세균(수산중공업)/박원순(성안)/안철수(케이씨피드/써니전자)/AJ네트웍스/위메이드/피에스케이/비보존 관련주/에스텍파마/폐장일, 배당일",2019-12-22 14:27:51+00:00,910,AJ네트웍스,1056452,71398,4985.833333,4902.5
주식일상,[종목분석] 가상증강현실 관련주(AR.VR) | 반도체관련주 TOP3종목 공개(DB하이텍),2020-07-28 13:03:48+00:00,0,DB하이텍,515502,1305519,31666.66667,33816.66667
고수경제TV,"[창투사 관련주] 아주IB투자, DSC인베스트먼트, TS인베스트먼트, 에이티넘인베스트, 디지털 뉴딜 수혜주 매수타점은?",2020-10-29 08:36:11+00:00,6627,DSC인베스트먼트,163544,4655503,3963.333333,4551.666667
하승훈의 대박 주식투자,"KEC 자율주행, 2차전지, 가상화폐 관련주, 사회적 거리두기 2단계, 백신 등 급등주 테마주 관심종목",2020-11-24 10:22:36+00:00,1280,KEC,709445,40912415,2065.833333,2947.5
아는 것이 힘이다 - 주식연구소,"전자결제 핀테크 관련주 KG이니시스, 20년 매 분기 실적향상 전망, 유보율 1,800%",2020-04-07 09:00:17+00:00,1302,KG이니시스,105737,46080,20466.66667,20433.33333
박정식의 주식디자인연구소,주식투자 오픈뱅킹 시범운영 이슈 핀테크 관련주 살펴보자 카카오 naver KG이니시스 다날 아모텍 KG모빌리언스 코나아이 민앤지 웹케시,2019-10-28 07:47:53+00:00,2556,KG이니시스,7539,47342,15666.66667,15666.66667
월스트리트경제TV,핀테크 관련주 체크!✔️ #KG이니시스 #NICE평가정보 #다날 │ 오감만족,2019-07-11 05:06:17+00:00,275,KG이니시스,14242,13688,14691.66667,14316.66667
하승훈의 대박 주식투자,12월8일 꼭봐야할 주도 테마주 셀트리온헬스케어 종근당바이오 녹십자랩셀 이오플로우 KMH 에이치엘비생명과학 에스티팜 SGA 한국정보 동신건설 서연탑메탈 KNN 자비스 유비쿼스..,2020-12-07 14:47:26+00:00,23479,KMH,288757,496108,22100,25425
하승훈의 대박 주식투자,12월8일 꼭봐야할 주도 테마주 셀트리온헬스케어 종근당바이오 녹십자랩셀 이오플로우 KMH 에이치엘비생명과학 에스티팜 SGA 한국정보 동신건설 서연탑메탈 KNN 자비스 유비쿼스..,2020-12-07 14:47:26+00:00,23479,KNN,729659,20561844,2323.333333,2571.666667
외인잡는개미,쿠팡관련주 주식단타 종목추천 (동방 KTH 알로이스 갤럭시아머니트리),2021-01-11 21:15:00+00:00,2365,KTH,46965,5614996,5961.666667,9131.666667
