조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
238.0,312618.0,176122.99999999997,247083.33333333328,279833.33333333326
0.0,11372260.0,5822385.999999999,1405.833333333333,1465.833333333333
705.0,2928469.0,190954.00000000003,9148.333333333334,9063.333333333334
238.0,226086.0,137595.0,364666.66666666674,368000.0
1244.0,137012.0,451140.0,9416.666666666666,9375.0
355.0,329803.0,5904872.000000001,8021.666666666668,9758.333333333334
135.0,371257.0,432699.0,343703.0,359742.33333333326
188.0,7513115.0,30528211.0,5074.166666666667,7101.666666666668
360.0,652599.0,6347527.0,3596.666666666666,4398.333333333333
916.0,337330.0,389415.0,9713.333333333334,9505.0
1548.0,40324.0,31525.0,13083.333333333336,12750.0
1872.0,1914921.0,699289.0000000001,49441.66666666666,51100.0
11495.0,576451.0,236450.0,117000.0,124666.66666666669
2822.0,55670.0,158527.00000000006,4465.833333333333,4488.333333333333
724.0,382090.0,271239.99999999994,4288.333333333333,4560.833333333333
2822.0,5147503.0,7962106.999999997,2643.333333333333,3380.0
2440.0,17291.0,63615.0,9323.333333333334,9576.666666666666
91.0,303793.0,331038.99999999994,41816.66666666666,42525.0
817.0,11031331.0,6408748.000000003,3487.5,3310.833333333333
0.0,177505.0,106236.0,146000.0,143333.33333333337
0.0,3072185.0,205147.0,4431.666666666667,4150.833333333333
1457.0,34220.0,25069.0,161383.33333333337,160050.0
4132.0,78105.0,214648.0,116333.33333333331,118916.66666666669
1457.0,5147503.0,7962106.999999997,2643.333333333333,3380.0
87.0,24535.0,43575.0,38491.66666666666,37075.0
337.0,10406.0,43860.0,5670.0,5658.333333333332
0.0,9480.0,399537.0,6985.0,7793.333333333332
6627.0,1691472.0,1636342.9999999998,4887.5,5280.0
1351.0,69722.0,847335.9999999999,6071.666666666668,6285.0
5266.0,18585.0,24586.0,26933.33333333333,26916.66666666667
819.0,95303.0,480896.0,17650.0,17591.666666666668
724.0,190176.0,303654.0,3345.833333333333,3593.333333333333
0.0,222944.0,112744.0,10425.0,10350.0
0.0,26940.0,84032.00000000001,3718.333333333334,3732.5
783.0,96992.0,983586.0,47191.66666666666,48300.0
0.0,67905.0,101297.0,5440.0,5566.666666666668
6627.0,139337.0,140604.0,453000.0,457583.33333333326
893.0,199536.0,1254426.0,9031.666666666666,11058.333333333336
644.0,36905.0,7450.0,11700.0,11875.0
1994.0,182673.0,56293.0,23566.66666666667,23175.0
91709.0,25659.0,339462.99999999994,169479.0,183788.0
25921.0,15460.0,9316.999999999998,5948.333333333332,5758.333333333332
465.0,614889.0,5304246.0,9446.666666666666,9416.666666666666
0.0,55418.0,722421.0,41044.66666666666,45867.66666666666
0.0,276744.0,297851.0000000001,30600.0,35141.666666666664
0.0,7692.0,68895.99999999999,20391.666666666668,20291.666666666668
1376.0,132826.0,77375.00000000001,6425.0,6373.333333333332
1782.0,3563263.0,835119.9999999999,55850.0,56250.0
3052.0,921130.0,18027527.0,2093.333333333333,2907.5
5088.0,31605.0,21275.0,53600.0,55150.0
5457.0,520712.0,212625.0,22658.33333333333,22250.0
153.0,1088112.0,27059334.0,4654.166666666667,3281.666666666666
2432.0,768670.0,367077.0,32900.0,30316.66666666667
1771.0,10738.0,10639.999999999998,40350.0,40125.0
1150.0,372565.0,145232.0,4930.833333333333,4877.5
1302.0,631051.0,789881.0000000001,79816.66666666669,86783.33333333331
0.0,9008311.0,1618903.9999999998,1872.5,1591.666666666667
206.0,247097.0,729213.0,1572.0,1738.666666666667
1834.0,213634.0,9036120.0,89002.66666666669,111654.0
1153.0,929199.0,628788.0,4097.5,3925.0
6643.0,16129.0,25881.0,6211.666666666668,6301.666666666668
0.0,38207.0,3926090.000000002,3322.5,3730.833333333334
0.0,363971.0,3247776.0,278.6666666666667,274.8333333333333
18528.0,1651.0,6784.0,2980.0,2959.166666666666
875.0,574331.0,93179.0,8098.333333333332,7753.333333333332
123.0,5547575.0,6667554.0,1229.1666666666667,1237.5
2831.0,113638.0,311481.99999999994,9563.333333333334,10100.0
427.0,20040.0,346052.0000000001,15725.0,17400.0
2365.0,801408.0,2232403.0000000005,4165.0,4634.166666666667
705.0,1411266.0,2039164.0,1009.1666666666664,1016.6666666666664
42.0,8412651.0,2163844.0000000005,4528.333333333333,4944.166666666667
1639.0,77443.0,83300.00000000001,14808.333333333336,14958.333333333336
1376.0,1142454.0,209816.0,11833.333333333336,11650.0
2036.0,323941.0,2455072.9999999995,13083.333333333336,16291.666666666664
902.0,84977.0,5633885.000000001,9116.666666666666,10741.666666666666
158.0,2079543.0,2459508.0,18216.666666666668,18650.0
13177.0,33090.0,77770.0,647666.6666666665,648500.0
155.0,11457178.0,12506143.0,4255.0,4508.333333333333
0.0,1335488.0,41597028.0,8700.0,11400.0
6627.0,87544.0,122745.0,90650.0,90066.66666666669
8299.0,29560.0,64000.0,26825.0,28741.66666666667
1109.0,180808.0,862811.0000000001,4603.333333333333,4719.166666666667
525.0,15037.0,16776.999999999996,43750.0,44175.0
535.0,6663684.0,14276538.0,1825.0,1936.666666666667
16.0,74292.0,27744447.0,2570.833333333333,3537.5
188.0,82130.0,1010190.0,3064.166666666666,3096.666666666666
364.0,2477539.0,2451157.0000000005,21783.33333333333,23333.33333333333
19549.0,28431698.0,27243575.0,2571.6666666666665,2798.333333333333
849.0,201311.0,52080.0,50716.66666666666,49998.83333333334
140.0,7542189.0,7757575.000000003,8386.666666666666,9398.333333333334
45824.0,769372.0,264642.99999999994,22466.66666666667,22475.0
865.0,2989724.0,27956148.0,7201.666666666668,7380.0
