업로드 시간,해당일 평균 주가,다음날 평균 주가,influence,주가 변화율,라벨,influence_score
2020-12-15 02:52:20+00:00,11350.0,10966.666666666666,1950.0,-0.03377386196769462,0,0.3
2020-12-07 12:04:28+00:00,2323.333333333333,2571.6666666666665,1770.0,0.10688665710186522,1,0.3
2020-07-06 04:49:58+00:00,2449.1666666666665,2592.5,19900.0,0.05852330724736311,1,0.8
2021-01-27 02:07:52+00:00,86666.66666666669,84033.33333333331,12900.0,-0.030384615384615826,0,0.7
2019-05-23 03:14:24+00:00,14275.0,13691.666666666664,22400.0,-0.040863981319322985,1,0.8
2020-07-28 11:35:40+00:00,5636.666666666668,5500.0,22500.0,-0.024246008279124983,0,0.8
2021-02-04 14:11:43+00:00,4244.166666666667,4179.166666666667,1200.0,-0.015315138425289613,0,0.2
2020-09-07 01:04:59+00:00,65116.66666666666,62583.33333333334,1950.0,-0.038904530330176317,0,0.3
2020-06-03 07:35:22+00:00,3864.166666666666,3796.666666666666,1950.0,-0.017468190640500328,0,0.3
2020-05-06 15:05:48+00:00,3596.666666666666,4398.333333333333,2470.0,0.2228915662650604,1,0.4
2020-07-15 21:51:14+00:00,1213.3333333333333,1237.5,2100.0,0.019917582417582482,0,0.4
2020-06-03 07:35:22+00:00,7081.666666666668,7011.666666666668,1950.0,-0.009884678747940691,0,0.3
2019-12-10 21:00:05+00:00,15666.666666666664,16191.666666666664,2720.0,0.03351063829787235,0,0.4
2020-11-16 10:05:04+00:00,24808.33333333333,24408.33333333333,2730.0,-0.01612361437688949,0,0.5
2020-05-28 08:29:03+00:00,6928.333333333332,6755.0,28300.0,-0.02501804185710832,0,0.8
2021-01-25 07:08:18+00:00,46266.66666666666,47958.33333333334,17900.0,0.0365634005763693,0,0.8
2020-05-26 15:21:28+00:00,7386.666666666668,8196.666666666666,9240.0,0.10965703971119108,1,0.7
2020-07-12 14:48:49+00:00,10958.333333333334,12766.666666666664,4250.0,0.16501901140684386,1,0.5
2020-05-14 11:30:04+00:00,27191.66666666667,45708.33333333334,1090.0,0.6809684339564818,1,0.2
2020-12-01 23:22:21+00:00,2966.666666666666,3102.5,937.0,0.0457865168539328,1,0.1
2021-02-02 11:45:00+00:00,279833.33333333326,281083.33333333326,1460.0,0.004466944609886839,0,0.2
2020-10-25 00:00:02+00:00,806166.6666666665,799666.6666666665,529000.0,-0.008062848873268556,0,0.9
2021-02-04 07:52:34+00:00,182.0,187.3333333333333,548.0,0.0293040293040292,0,0.1
2020-07-15 21:51:14+00:00,3599.166666666666,3607.5,2100.0,0.002315350775642679,0,0.4
2019-12-17 07:39:48+00:00,1805.833333333333,2128.333333333333,156.0,0.17858790955237658,1,0
2020-12-15 08:00:07+00:00,15700.0,15975.0,4360.0,0.01751592356687898,0,0.5
2020-10-19 05:47:41+00:00,3126.666666666666,3158.333333333333,1640.0,0.010127931769722914,0,0.2
2020-07-07 09:22:37+00:00,4767.5,5166.666666666667,37900.0,0.08372662122006648,1,0.9
2021-01-17 03:01:43+00:00,9905.0,9828.333333333334,181.0,-0.007740198552919341,0,0
2019-06-12 07:30:17+00:00,1002.0,1378.333333333333,2380.0,0.3755821689953424,1,0.4
2020-12-16 03:02:48+00:00,212133.33333333328,212583.33333333328,5010.0,0.002121307353865494,0,0.6
2020-05-26 15:21:28+00:00,178866.66666666663,192750.0,9240.0,0.07761833768169983,1,0.7
2021-02-01 12:27:48+00:00,22491.66666666667,22250.0,62.0,-0.010744720266765682,0,0
2019-12-22 12:39:20+00:00,1485.833333333333,1921.666666666667,2720.0,0.29332585530005656,1,0.4
2019-12-12 09:31:13+00:00,1855.833333333333,1756.666666666667,1090.0,-0.053435114503816473,1,0.2
2019-12-09 00:13:15+00:00,15108.333333333336,14666.666666666664,409.0,-0.029233314947600977,0,0
2020-09-06 08:34:27+00:00,147916.66666666663,149750.0,261000.0,0.012394366197183364,0,0.9
2021-01-26 12:36:27+00:00,79233.33333333331,77400.0,2120.0,-0.023138409760201692,0,0.4
2021-01-05 11:50:49+00:00,169166.66666666663,186000.0,2180.0,0.09950738916256184,1,0.4
2019-04-14 12:00:05+00:00,16483.333333333332,16808.333333333332,22400.0,0.019716885743174924,0,0.8
2021-01-11 17:57:49+00:00,27625.0,26658.33333333333,1670.0,-0.03499245852187046,0,0.2
2020-01-30 12:42:57+00:00,2098.333333333333,2225.833333333333,187.0,0.0607625099285147,1,0
2020-10-19 10:00:07+00:00,6211.666666666668,6075.0,6760.0,-0.022001609873893404,0,0.6
